#term ID	term description	genes mapped	enrichment score	direction	false discovery rate	method	matching proteins in your input (IDs)	matching proteins in your input (labels)
GO:0031983	Vesicle lumen	140	0.550579	bottom	1.91e-08	ks	9606.ENSP00000002165,9606.ENSP00000053867,9606.ENSP00000211998,9606.ENSP00000215754,9606.ENSP00000215832,9606.ENSP00000216124,9606.ENSP00000216392,9606.ENSP00000216962,9606.ENSP00000217131,9606.ENSP00000218388,9606.ENSP00000218516,9606.ENSP00000219022,9606.ENSP00000219313,9606.ENSP00000220166,9606.ENSP00000221930,9606.ENSP00000223321,9606.ENSP00000227266,9606.ENSP00000231751,9606.ENSP00000245907,9606.ENSP00000252699,9606.ENSP00000254286,9606.ENSP00000257264,9606.ENSP00000258145,9606.ENSP00000259457,9606.ENSP00000260118,9606.ENSP00000260356,9606.ENSP00000261416,9606.ENSP00000261712,9606.ENSP00000262193,9606.ENSP00000262455,9606.ENSP00000262776,9606.ENSP00000264639,9606.ENSP00000266085,9606.ENSP00000268695,9606.ENSP00000269848,9606.ENSP00000271308,9606.ENSP00000271638,9606.ENSP00000273784,9606.ENSP00000275493,9606.ENSP00000284719,9606.ENSP00000284981,9606.ENSP00000286788,9606.ENSP00000289228,9606.ENSP00000290158,9606.ENSP00000291565,9606.ENSP00000291568,9606.ENSP00000294724,9606.ENSP00000294742,9606.ENSP00000295777,9606.ENSP00000296370,9606.ENSP00000299300,9606.ENSP00000302728,9606.ENSP00000302886,9606.ENSP00000306920,9606.ENSP00000307674,9606.ENSP00000307940,9606.ENSP00000308938,9606.ENSP00000309474,9606.ENSP00000310129,9606.ENSP00000315130,9606.ENSP00000320171,9606.ENSP00000321584,9606.ENSP00000323929,9606.ENSP00000331831,9606.ENSP00000333664,9606.ENSP00000335153,9606.ENSP00000339001,9606.ENSP00000339063,9606.ENSP00000340648,9606.ENSP00000341289,9606.ENSP00000342026,9606.ENSP00000344829,9606.ENSP00000345096,9606.ENSP00000345347,9606.ENSP00000346032,9606.ENSP00000346437,9606.ENSP00000346839,9606.ENSP00000347872,9606.ENSP00000348442,9606.ENSP00000348965,9606.ENSP00000351777,9606.ENSP00000352257,9606.ENSP00000354532,9606.ENSP00000355011,9606.ENSP00000356056,9606.ENSP00000356574,9606.ENSP00000356771,9606.ENSP00000358045,9606.ENSP00000358307,9606.ENSP00000359540,9606.ENSP00000359991,9606.ENSP00000360609,9606.ENSP00000360635,9606.ENSP00000361562,9606.ENSP00000361883,9606.ENSP00000363603,9606.ENSP00000364782,9606.ENSP00000366525,9606.ENSP00000367220,9606.ENSP00000367615,9606.ENSP00000368646,9606.ENSP00000368920,9606.ENSP00000369081,9606.ENSP00000369538,9606.ENSP00000370115,9606.ENSP00000371393,9606.ENSP00000375978,9606.ENSP00000376886,9606.ENSP00000377508,9606.ENSP00000377696,9606.ENSP00000377941,9606.ENSP00000378731,9606.ENSP00000378760,9606.ENSP00000381607,9606.ENSP00000386284,9606.ENSP00000386541,9606.ENSP00000390265,9606.ENSP00000391211,9606.ENSP00000391592,9606.ENSP00000395473,9606.ENSP00000396937,9606.ENSP00000401508,9606.ENSP00000405573,9606.ENSP00000411613,9606.ENSP00000416583,9606.ENSP00000418695,9606.ENSP00000419413,9606.ENSP00000419425,9606.ENSP00000428184,9606.ENSP00000435289,9606.ENSP00000437125,9606.ENSP00000442318,9606.ENSP00000448165,9606.ENSP00000466259,9606.ENSP00000473631,9606.ENSP00000481029,9606.ENSP00000481038,9606.ENSP00000487444,9606.ENSP00000494040,9606.ENSP00000496166	FUCA2,GRN,VCL,MIF,MAPK1,ARSA,PYGL,PYGB,CTSZ,TIMP1,GLA,OLFM4,PSMD7,CTSH,TGFB1,PSMA2,CTSC,LTF,C3,ACTN4,ACTR10,TCN1,GNS,PSMB7,GGH,THBS1,HEXB,PSMD11,PSMB1,ERP44,LGALS3BP,PSMD3,TIMP3,GALNS,PFKL,PSMA5,S100A11,AHSG,EGFR,OLA1,APP,CCT8,ACTR1B,KPNB1,PDXK,CSTB,AGL,ARPC5,SERPINI1,S100P,CCT2,GUSB,PA2G4,GLB1,CANT1,EEF2,PLG,PSMD1,PSMD2,CLU,PKM,IMPDH2,A2M,GAS6,ACAA1,HSP90AA1,TUBB,EEF1A1,HUWE1,TUBB4B,PRDX6,QPCT,IMPDH1,HMGB1,ANXA2,ATG7,FN1,VAT1,PSMD12,DYNC1H1,VCP,XRCC6,PNP,ILF2,DYNLT1,QSOX1,F5,ECM1,NHLRC2,CREG1,PGAM1,HSP90AB1,DPP7,CTSA,CAP1,FUCA1,NEU1,FTL,ACTR2,APRT,PRDX4,NHLRC3,TXNDC5,GDI2,SERPINB1,PGM2,XRCC5,NME2,JUP,NIT2,ACTN1,ALDOC,MVP,GSTP1,ALAD,PSMD14,IDH1,PSMC2,PTPN6,MAN2B1,PSMD13,NAPRT,GPI,AOC1,DERA,PSMD6,ARMC8,PPIA,SDCBP,PAFAH1B2,HSPA8,CAND1,APAF1,ACLY,DNAJC3,PSMC3,CYFIP1,SPTAN1,DDX3X,ALDOA
GO:0034774	Secretory granule lumen	139	0.548296	bottom	1.91e-08	ks	9606.ENSP00000002165,9606.ENSP00000053867,9606.ENSP00000211998,9606.ENSP00000215754,9606.ENSP00000215832,9606.ENSP00000216124,9606.ENSP00000216392,9606.ENSP00000216962,9606.ENSP00000217131,9606.ENSP00000218388,9606.ENSP00000218516,9606.ENSP00000219022,9606.ENSP00000219313,9606.ENSP00000220166,9606.ENSP00000221930,9606.ENSP00000223321,9606.ENSP00000227266,9606.ENSP00000231751,9606.ENSP00000245907,9606.ENSP00000252699,9606.ENSP00000254286,9606.ENSP00000257264,9606.ENSP00000258145,9606.ENSP00000259457,9606.ENSP00000260118,9606.ENSP00000260356,9606.ENSP00000261416,9606.ENSP00000261712,9606.ENSP00000262193,9606.ENSP00000262455,9606.ENSP00000262776,9606.ENSP00000264639,9606.ENSP00000266085,9606.ENSP00000268695,9606.ENSP00000269848,9606.ENSP00000271308,9606.ENSP00000271638,9606.ENSP00000273784,9606.ENSP00000284719,9606.ENSP00000284981,9606.ENSP00000286788,9606.ENSP00000289228,9606.ENSP00000290158,9606.ENSP00000291565,9606.ENSP00000291568,9606.ENSP00000294724,9606.ENSP00000294742,9606.ENSP00000295777,9606.ENSP00000296370,9606.ENSP00000299300,9606.ENSP00000302728,9606.ENSP00000302886,9606.ENSP00000306920,9606.ENSP00000307674,9606.ENSP00000307940,9606.ENSP00000308938,9606.ENSP00000309474,9606.ENSP00000310129,9606.ENSP00000315130,9606.ENSP00000320171,9606.ENSP00000321584,9606.ENSP00000323929,9606.ENSP00000331831,9606.ENSP00000333664,9606.ENSP00000335153,9606.ENSP00000339001,9606.ENSP00000339063,9606.ENSP00000340648,9606.ENSP00000341289,9606.ENSP00000342026,9606.ENSP00000344829,9606.ENSP00000345096,9606.ENSP00000345347,9606.ENSP00000346032,9606.ENSP00000346437,9606.ENSP00000346839,9606.ENSP00000347872,9606.ENSP00000348442,9606.ENSP00000348965,9606.ENSP00000351777,9606.ENSP00000352257,9606.ENSP00000354532,9606.ENSP00000355011,9606.ENSP00000356056,9606.ENSP00000356574,9606.ENSP00000356771,9606.ENSP00000358045,9606.ENSP00000358307,9606.ENSP00000359540,9606.ENSP00000359991,9606.ENSP00000360609,9606.ENSP00000360635,9606.ENSP00000361562,9606.ENSP00000361883,9606.ENSP00000363603,9606.ENSP00000364782,9606.ENSP00000366525,9606.ENSP00000367220,9606.ENSP00000367615,9606.ENSP00000368646,9606.ENSP00000368920,9606.ENSP00000369081,9606.ENSP00000369538,9606.ENSP00000370115,9606.ENSP00000371393,9606.ENSP00000375978,9606.ENSP00000376886,9606.ENSP00000377508,9606.ENSP00000377696,9606.ENSP00000377941,9606.ENSP00000378731,9606.ENSP00000378760,9606.ENSP00000381607,9606.ENSP00000386284,9606.ENSP00000386541,9606.ENSP00000390265,9606.ENSP00000391211,9606.ENSP00000391592,9606.ENSP00000395473,9606.ENSP00000396937,9606.ENSP00000401508,9606.ENSP00000405573,9606.ENSP00000411613,9606.ENSP00000416583,9606.ENSP00000418695,9606.ENSP00000419413,9606.ENSP00000419425,9606.ENSP00000428184,9606.ENSP00000435289,9606.ENSP00000437125,9606.ENSP00000442318,9606.ENSP00000448165,9606.ENSP00000466259,9606.ENSP00000473631,9606.ENSP00000481029,9606.ENSP00000481038,9606.ENSP00000487444,9606.ENSP00000494040,9606.ENSP00000496166	FUCA2,GRN,VCL,MIF,MAPK1,ARSA,PYGL,PYGB,CTSZ,TIMP1,GLA,OLFM4,PSMD7,CTSH,TGFB1,PSMA2,CTSC,LTF,C3,ACTN4,ACTR10,TCN1,GNS,PSMB7,GGH,THBS1,HEXB,PSMD11,PSMB1,ERP44,LGALS3BP,PSMD3,TIMP3,GALNS,PFKL,PSMA5,S100A11,AHSG,OLA1,APP,CCT8,ACTR1B,KPNB1,PDXK,CSTB,AGL,ARPC5,SERPINI1,S100P,CCT2,GUSB,PA2G4,GLB1,CANT1,EEF2,PLG,PSMD1,PSMD2,CLU,PKM,IMPDH2,A2M,GAS6,ACAA1,HSP90AA1,TUBB,EEF1A1,HUWE1,TUBB4B,PRDX6,QPCT,IMPDH1,HMGB1,ANXA2,ATG7,FN1,VAT1,PSMD12,DYNC1H1,VCP,XRCC6,PNP,ILF2,DYNLT1,QSOX1,F5,ECM1,NHLRC2,CREG1,PGAM1,HSP90AB1,DPP7,CTSA,CAP1,FUCA1,NEU1,FTL,ACTR2,APRT,PRDX4,NHLRC3,TXNDC5,GDI2,SERPINB1,PGM2,XRCC5,NME2,JUP,NIT2,ACTN1,ALDOC,MVP,GSTP1,ALAD,PSMD14,IDH1,PSMC2,PTPN6,MAN2B1,PSMD13,NAPRT,GPI,AOC1,DERA,PSMD6,ARMC8,PPIA,SDCBP,PAFAH1B2,HSPA8,CAND1,APAF1,ACLY,DNAJC3,PSMC3,CYFIP1,SPTAN1,DDX3X,ALDOA
GO:1904813	ficolin-1-rich granule lumen	78	0.637196	bottom	8.37e-06	ks	9606.ENSP00000211998,9606.ENSP00000215754,9606.ENSP00000215832,9606.ENSP00000216392,9606.ENSP00000217131,9606.ENSP00000219313,9606.ENSP00000220166,9606.ENSP00000223321,9606.ENSP00000228740,9606.ENSP00000252244,9606.ENSP00000254286,9606.ENSP00000258145,9606.ENSP00000259457,9606.ENSP00000261712,9606.ENSP00000262193,9606.ENSP00000264639,9606.ENSP00000269848,9606.ENSP00000271308,9606.ENSP00000273550,9606.ENSP00000286788,9606.ENSP00000289228,9606.ENSP00000290158,9606.ENSP00000291568,9606.ENSP00000294724,9606.ENSP00000294742,9606.ENSP00000296456,9606.ENSP00000302728,9606.ENSP00000306920,9606.ENSP00000307674,9606.ENSP00000307940,9606.ENSP00000310129,9606.ENSP00000320171,9606.ENSP00000321584,9606.ENSP00000335153,9606.ENSP00000339063,9606.ENSP00000340648,9606.ENSP00000344829,9606.ENSP00000345096,9606.ENSP00000345347,9606.ENSP00000345672,9606.ENSP00000346437,9606.ENSP00000348442,9606.ENSP00000351777,9606.ENSP00000352257,9606.ENSP00000354532,9606.ENSP00000355011,9606.ENSP00000356056,9606.ENSP00000357981,9606.ENSP00000359991,9606.ENSP00000360609,9606.ENSP00000364802,9606.ENSP00000367220,9606.ENSP00000368646,9606.ENSP00000371393,9606.ENSP00000376886,9606.ENSP00000377508,9606.ENSP00000378731,9606.ENSP00000378760,9606.ENSP00000381448,9606.ENSP00000381607,9606.ENSP00000386284,9606.ENSP00000386541,9606.ENSP00000390265,9606.ENSP00000391211,9606.ENSP00000396937,9606.ENSP00000405573,9606.ENSP00000416583,9606.ENSP00000418695,9606.ENSP00000419425,9606.ENSP00000431984,9606.ENSP00000435289,9606.ENSP00000437125,9606.ENSP00000442318,9606.ENSP00000448165,9606.ENSP00000466259,9606.ENSP00000481029,9606.ENSP00000494040,9606.ENSP00000496166	VCL,MIF,MAPK1,PYGL,CTSZ,PSMD7,CTSH,PSMA2,LTA4H,KRT1,ACTR10,GNS,PSMB7,PSMD11,PSMB1,PSMD3,PFKL,PSMA5,FTH1,CCT8,ACTR1B,KPNB1,CSTB,AGL,ARPC5,APEH,GUSB,GLB1,CANT1,EEF2,PSMD2,PKM,IMPDH2,HSP90AA1,EEF1A1,HUWE1,QPCT,IMPDH1,HMGB1,CTSB,ATG7,PSMD12,VCP,XRCC6,PNP,ILF2,DYNLT1,CTSS,PGAM1,HSP90AB1,HSPA1A,ACTR2,PRDX4,PGM2,NME2,JUP,ALDOC,MVP,CST3,GSTP1,ALAD,PSMD14,IDH1,PSMC2,PSMD13,GPI,DERA,PSMD6,PPIA,CAPN1,PAFAH1B2,HSPA8,CAND1,APAF1,ACLY,PSMC3,DDX3X,ALDOA
GO:0022625	Cytosolic large ribosomal subunit	37	8.14659	top	6.93e-05	ks	9606.ENSP00000222247,9606.ENSP00000225430,9606.ENSP00000274242,9606.ENSP00000294189,9606.ENSP00000307889,9606.ENSP00000309334,9606.ENSP00000309830,9606.ENSP00000311430,9606.ENSP00000339795,9606.ENSP00000346001,9606.ENSP00000346015,9606.ENSP00000346027,9606.ENSP00000346037,9606.ENSP00000346088,9606.ENSP00000354739,9606.ENSP00000359345,9606.ENSP00000361076,9606.ENSP00000363018,9606.ENSP00000377640,9606.ENSP00000378163,9606.ENSP00000379506,9606.ENSP00000386717,9606.ENSP00000403172,9606.ENSP00000404375,9606.ENSP00000413436,9606.ENSP00000416429,9606.ENSP00000418082,9606.ENSP00000420311,9606.ENSP00000428085,9606.ENSP00000431240,9606.ENSP00000447001,9606.ENSP00000449328,9606.ENSP00000452763,9606.ENSP00000463842,9606.ENSP00000494697,9606.ENSP00000495672,9606.ENSP00000496250	RPL18A,RPL19,RPL37,RPL29,RPL13,RPL15,RPL38,RPL4,RPL7,RPL3,RPL27A,RPL21,RPLP1,RPL22,RPL12,RPL5,RPL7A,RPL10A,RPL24,RPL34,RPL14,RPL31,RPL6,RPL36A,RPL10,RPL32,RPL37A,RPL23,RPL30,RPLP2,RPL18,RPLP0,RPL28,RPL17,RPL9,RPL35A,RPL11
GO:0101002	ficolin-1-rich granule	93	0.513723	bottom	6.93e-05	ks	9606.ENSP00000211998,9606.ENSP00000215754,9606.ENSP00000215832,9606.ENSP00000216392,9606.ENSP00000217131,9606.ENSP00000219313,9606.ENSP00000220166,9606.ENSP00000223321,9606.ENSP00000228740,9606.ENSP00000249923,9606.ENSP00000252244,9606.ENSP00000254286,9606.ENSP00000254301,9606.ENSP00000258145,9606.ENSP00000259457,9606.ENSP00000261712,9606.ENSP00000262193,9606.ENSP00000264639,9606.ENSP00000269848,9606.ENSP00000271308,9606.ENSP00000273130,9606.ENSP00000273550,9606.ENSP00000286788,9606.ENSP00000289228,9606.ENSP00000290158,9606.ENSP00000291568,9606.ENSP00000294724,9606.ENSP00000294742,9606.ENSP00000296456,9606.ENSP00000302728,9606.ENSP00000305692,9606.ENSP00000306920,9606.ENSP00000307674,9606.ENSP00000307940,9606.ENSP00000310129,9606.ENSP00000320171,9606.ENSP00000321584,9606.ENSP00000327694,9606.ENSP00000333298,9606.ENSP00000335153,9606.ENSP00000339063,9606.ENSP00000340648,9606.ENSP00000344829,9606.ENSP00000345096,9606.ENSP00000345347,9606.ENSP00000345672,9606.ENSP00000346437,9606.ENSP00000348442,9606.ENSP00000348461,9606.ENSP00000351777,9606.ENSP00000352257,9606.ENSP00000354532,9606.ENSP00000355011,9606.ENSP00000356056,9606.ENSP00000357981,9606.ENSP00000359991,9606.ENSP00000360609,9606.ENSP00000364403,9606.ENSP00000364802,9606.ENSP00000367220,9606.ENSP00000368646,9606.ENSP00000369129,9606.ENSP00000371393,9606.ENSP00000373706,9606.ENSP00000376297,9606.ENSP00000376886,9606.ENSP00000377055,9606.ENSP00000377508,9606.ENSP00000378731,9606.ENSP00000378760,9606.ENSP00000381448,9606.ENSP00000381607,9606.ENSP00000386284,9606.ENSP00000386541,9606.ENSP00000390265,9606.ENSP00000391211,9606.ENSP00000396937,9606.ENSP00000400175,9606.ENSP00000405573,9606.ENSP00000415034,9606.ENSP00000416583,9606.ENSP00000418695,9606.ENSP00000419425,9606.ENSP00000431984,9606.ENSP00000435289,9606.ENSP00000437125,9606.ENSP00000442318,9606.ENSP00000448165,9606.ENSP00000466259,9606.ENSP00000481029,9606.ENSP00000490083,9606.ENSP00000494040,9606.ENSP00000496166	VCL,MIF,MAPK1,PYGL,CTSZ,PSMD7,CTSH,PSMA2,LTA4H,COPB1,KRT1,ACTR10,LGALS3,GNS,PSMB7,PSMD11,PSMB1,PSMD3,PFKL,PSMA5,DYNC1LI1,FTH1,CCT8,ACTR1B,KPNB1,CSTB,AGL,ARPC5,APEH,GUSB,GAA,GLB1,CANT1,EEF2,PSMD2,PKM,IMPDH2,AP2A2,LAMP1,HSP90AA1,EEF1A1,HUWE1,QPCT,IMPDH1,HMGB1,CTSB,ATG7,PSMD12,RAC1,VCP,XRCC6,PNP,ILF2,DYNLT1,CTSS,PGAM1,HSP90AB1,UBR4,HSPA1A,ACTR2,PRDX4,DSP,PGM2,DIAPH1,DYNLL1,NME2,PRCP,JUP,ALDOC,MVP,CST3,GSTP1,ALAD,PSMD14,IDH1,PSMC2,PSMD13,RHOA,GPI,NBEAL2,DERA,PSMD6,PPIA,CAPN1,PAFAH1B2,HSPA8,CAND1,APAF1,ACLY,PSMC3,ATP6AP2,DDX3X,ALDOA
GO:0000502	Proteasome complex	46	0.410628	bottom	0.00011	ks	9606.ENSP00000044462,9606.ENSP00000157812,9606.ENSP00000210313,9606.ENSP00000215071,9606.ENSP00000216455,9606.ENSP00000216802,9606.ENSP00000217515,9606.ENSP00000219313,9606.ENSP00000223321,9606.ENSP00000259335,9606.ENSP00000259457,9606.ENSP00000261303,9606.ENSP00000261479,9606.ENSP00000261601,9606.ENSP00000261712,9606.ENSP00000262193,9606.ENSP00000264639,9606.ENSP00000270586,9606.ENSP00000271308,9606.ENSP00000290541,9606.ENSP00000290650,9606.ENSP00000293362,9606.ENSP00000309474,9606.ENSP00000310129,9606.ENSP00000310572,9606.ENSP00000348442,9606.ENSP00000351314,9606.ENSP00000351777,9606.ENSP00000355325,9606.ENSP00000356421,9606.ENSP00000359910,9606.ENSP00000362334,9606.ENSP00000363993,9606.ENSP00000364016,9606.ENSP00000372155,9606.ENSP00000384211,9606.ENSP00000386541,9606.ENSP00000391211,9606.ENSP00000396937,9606.ENSP00000414359,9606.ENSP00000418695,9606.ENSP00000478877,9606.ENSP00000481029,9606.ENSP00000483688,9606.ENSP00000484998,9606.ENSP00000497594	PSMA4,PSMC4,PSMD5,PSMD8,PSMA3,PSME2,TXNL1,PSMD7,PSMA2,ECPAS,PSMB7,PSMC1,PSMA6,USP14,PSMD11,PSMB1,PSMD3,PSMB6,PSMA5,PSMB4,UBR1,PSME3,PSMD1,PSMD2,PSMC5,PSMD12,PSMB10,VCP,PSMB5,UCHL5,PSMA7,PSMB2,PSMB9,PSMB8,PSME1,PSME4,PSMD14,PSMC2,PSMD13,PSMA1,PSMD6,ADRM1,PSMC3,PSMB3,PSMC6,UBE3A
GO:0030864	Cortical actin cytoskeleton	18	1.79976	bottom	0.00011	afc	9606.ENSP00000211998,9606.ENSP00000216181,9606.ENSP00000219150,9606.ENSP00000246069,9606.ENSP00000252699,9606.ENSP00000254770,9606.ENSP00000268182,9606.ENSP00000336831,9606.ENSP00000339063,9606.ENSP00000349259,9606.ENSP00000355124,9606.ENSP00000357110,9606.ENSP00000361883,9606.ENSP00000367220,9606.ENSP00000377941,9606.ENSP00000416293,9606.ENSP00000427687,9606.ENSP00000487444	VCL,MYH9,CORO1A,DSTN,ACTN4,LANCL2,IQGAP1,PLS1,EEF1A1,SPTBN1,KRT19,EPB41L2,CAP1,ACTR2,ACTN1,SLC2A1,WDR1,SPTAN1
GO:0015934	Large ribosomal subunit	38	7.33086	top	0.00014	ks	9606.ENSP00000222247,9606.ENSP00000225430,9606.ENSP00000274242,9606.ENSP00000294189,9606.ENSP00000296930,9606.ENSP00000307889,9606.ENSP00000309334,9606.ENSP00000309830,9606.ENSP00000311430,9606.ENSP00000339795,9606.ENSP00000346001,9606.ENSP00000346015,9606.ENSP00000346027,9606.ENSP00000346037,9606.ENSP00000346088,9606.ENSP00000354739,9606.ENSP00000359345,9606.ENSP00000361076,9606.ENSP00000363018,9606.ENSP00000377640,9606.ENSP00000378163,9606.ENSP00000379506,9606.ENSP00000386717,9606.ENSP00000403172,9606.ENSP00000404375,9606.ENSP00000413436,9606.ENSP00000416429,9606.ENSP00000418082,9606.ENSP00000420311,9606.ENSP00000428085,9606.ENSP00000431240,9606.ENSP00000447001,9606.ENSP00000449328,9606.ENSP00000452763,9606.ENSP00000463842,9606.ENSP00000494697,9606.ENSP00000495672,9606.ENSP00000496250	RPL18A,RPL19,RPL37,RPL29,NPM1,RPL13,RPL15,RPL38,RPL4,RPL7,RPL3,RPL27A,RPL21,RPLP1,RPL22,RPL12,RPL5,RPL7A,RPL10A,RPL24,RPL34,RPL14,RPL31,RPL6,RPL36A,RPL10,RPL32,RPL37A,RPL23,RPL30,RPLP2,RPL18,RPLP0,RPL28,RPL17,RPL9,RPL35A,RPL11
GO:0035578	Azurophil granule lumen	42	0.439171	bottom	0.0028	ks	9606.ENSP00000002165,9606.ENSP00000053867,9606.ENSP00000215832,9606.ENSP00000216124,9606.ENSP00000216962,9606.ENSP00000218516,9606.ENSP00000227266,9606.ENSP00000245907,9606.ENSP00000254286,9606.ENSP00000258145,9606.ENSP00000260118,9606.ENSP00000261416,9606.ENSP00000268695,9606.ENSP00000286788,9606.ENSP00000299300,9606.ENSP00000302728,9606.ENSP00000302886,9606.ENSP00000306920,9606.ENSP00000309474,9606.ENSP00000339001,9606.ENSP00000341289,9606.ENSP00000342026,9606.ENSP00000345096,9606.ENSP00000346032,9606.ENSP00000347872,9606.ENSP00000348965,9606.ENSP00000351777,9606.ENSP00000359540,9606.ENSP00000360635,9606.ENSP00000361562,9606.ENSP00000361883,9606.ENSP00000363603,9606.ENSP00000366525,9606.ENSP00000367220,9606.ENSP00000368920,9606.ENSP00000369081,9606.ENSP00000369538,9606.ENSP00000395473,9606.ENSP00000401508,9606.ENSP00000428184,9606.ENSP00000466259,9606.ENSP00000473631	FUCA2,GRN,MAPK1,ARSA,PYGB,GLA,CTSC,C3,ACTR10,GNS,GGH,HEXB,GALNS,CCT8,CCT2,GUSB,PA2G4,GLB1,PSMD1,TUBB,TUBB4B,PRDX6,IMPDH1,ANXA2,VAT1,DYNC1H1,VCP,CREG1,DPP7,CTSA,CAP1,FUCA1,FTL,ACTR2,NHLRC3,TXNDC5,GDI2,MAN2B1,NAPRT,SDCBP,ACLY,DNAJC3
GO:0030863	Cortical cytoskeleton	24	1.6035	bottom	0.0037	ks	9606.ENSP00000211998,9606.ENSP00000216181,9606.ENSP00000219150,9606.ENSP00000246069,9606.ENSP00000252699,9606.ENSP00000254770,9606.ENSP00000268182,9606.ENSP00000336831,9606.ENSP00000338934,9606.ENSP00000339063,9606.ENSP00000349259,9606.ENSP00000354947,9606.ENSP00000355124,9606.ENSP00000357110,9606.ENSP00000361883,9606.ENSP00000367220,9606.ENSP00000377298,9606.ENSP00000377941,9606.ENSP00000401010,9606.ENSP00000416293,9606.ENSP00000427687,9606.ENSP00000487444,9606.ENSP00000494125,9606.ENSP00000494750	VCL,MYH9,CORO1A,DSTN,ACTN4,LANCL2,IQGAP1,PLS1,EZR,EEF1A1,SPTBN1,CAPZA2,KRT19,EPB41L2,CAP1,ACTR2,NUMA1,ACTN1,CAPZB,SLC2A1,WDR1,SPTAN1,TPM4,ACTB
