#term ID	term description	genes mapped	enrichment score	direction	false discovery rate	method	matching proteins in your input (IDs)	matching proteins in your input (labels)
GO:0044183	Protein folding chaperone	21	0.821648	bottom	0.00010	ks	9606.ENSP00000233893,9606.ENSP00000258091,9606.ENSP00000275603,9606.ENSP00000280326,9606.ENSP00000285667,9606.ENSP00000286788,9606.ENSP00000295688,9606.ENSP00000297185,9606.ENSP00000299300,9606.ENSP00000302961,9606.ENSP00000317334,9606.ENSP00000320866,9606.ENSP00000324173,9606.ENSP00000335153,9606.ENSP00000340019,9606.ENSP00000356989,9606.ENSP00000360609,9606.ENSP00000364802,9606.ENSP00000377958,9606.ENSP00000437125,9606.ENSP00000487365	HSPE1,CCT7,CCT6A,CCT5,HSPA13,CCT8,CCT3,HSPA9,CCT2,HSPA4,TCP1,CALR,HSPA5,HSP90AA1,HSPD1,PFDN2,HSP90AB1,HSPA1A,CCT4,HSPA8,HSPH1
GO:0003735	Structural constituent of ribosome	41	7.86495	top	0.0109	ks	9606.ENSP00000225430,9606.ENSP00000230050,9606.ENSP00000259469,9606.ENSP00000270625,9606.ENSP00000272317,9606.ENSP00000278572,9606.ENSP00000294189,9606.ENSP00000296674,9606.ENSP00000309830,9606.ENSP00000318646,9606.ENSP00000341885,9606.ENSP00000346027,9606.ENSP00000346037,9606.ENSP00000346050,9606.ENSP00000346088,9606.ENSP00000354739,9606.ENSP00000359345,9606.ENSP00000363018,9606.ENSP00000367806,9606.ENSP00000369757,9606.ENSP00000375632,9606.ENSP00000378163,9606.ENSP00000385958,9606.ENSP00000389103,9606.ENSP00000389351,9606.ENSP00000393241,9606.ENSP00000403172,9606.ENSP00000428085,9606.ENSP00000429374,9606.ENSP00000431240,9606.ENSP00000435777,9606.ENSP00000449328,9606.ENSP00000463842,9606.ENSP00000470972,9606.ENSP00000472469,9606.ENSP00000472985,9606.ENSP00000481646,9606.ENSP00000495273,9606.ENSP00000496250,9606.ENSP00000498019,9606.ENSP00000499044	RPL19,RPS12,RPL35,RPS11,RPS27A,RPS3,RPL29,RPS23,RPL38,RPS15A,RPS2,RPL21,RPLP1,RPS3A,RPL22,RPL12,RPL5,RPL10A,RPS16,RPS6,RPS9,RPL34,RPS14,RPL23A,RPSA,RPS18,RPL6,RPL30,RPS20,RPLP2,RPS13,RPLP0,RPL17,RPS19,RPS28,RPS5,RPS10,RPS7,RPL11,RPS17,RPS27
GO:0050839	Cell adhesion molecule binding	181	0.446357	bottom	0.0207	ks	9606.ENSP00000027335,9606.ENSP00000200181,9606.ENSP00000211998,9606.ENSP00000216181,9606.ENSP00000216479,9606.ENSP00000216554,9606.ENSP00000217402,9606.ENSP00000219022,9606.ENSP00000220849,9606.ENSP00000222399,9606.ENSP00000225655,9606.ENSP00000225972,9606.ENSP00000226218,9606.ENSP00000231572,9606.ENSP00000236959,9606.ENSP00000245932,9606.ENSP00000252483,9606.ENSP00000252699,9606.ENSP00000252999,9606.ENSP00000253039,9606.ENSP00000260356,9606.ENSP00000260408,9606.ENSP00000261590,9606.ENSP00000261769,9606.ENSP00000261889,9606.ENSP00000262746,9606.ENSP00000263168,9606.ENSP00000263246,9606.ENSP00000263735,9606.ENSP00000263867,9606.ENSP00000264025,9606.ENSP00000264335,9606.ENSP00000264710,9606.ENSP00000264758,9606.ENSP00000264904,9606.ENSP00000268182,9606.ENSP00000270233,9606.ENSP00000270586,9606.ENSP00000271234,9606.ENSP00000271636,9606.ENSP00000271638,9606.ENSP00000275493,9606.ENSP00000280904,9606.ENSP00000284719,9606.ENSP00000284981,9606.ENSP00000286788,9606.ENSP00000294189,9606.ENSP00000296370,9606.ENSP00000301329,9606.ENSP00000303908,9606.ENSP00000304592,9606.ENSP00000304669,9606.ENSP00000305556,9606.ENSP00000307078,9606.ENSP00000307940,9606.ENSP00000309555,9606.ENSP00000309968,9606.ENSP00000310491,9606.ENSP00000311905,9606.ENSP00000313875,9606.ENSP00000314067,9606.ENSP00000315630,9606.ENSP00000316029,9606.ENSP00000318297,9606.ENSP00000319664,9606.ENSP00000320171,9606.ENSP00000320866,9606.ENSP00000323856,9606.ENSP00000323889,9606.ENSP00000324173,9606.ENSP00000324532,9606.ENSP00000326031,9606.ENSP00000327801,9606.ENSP00000331901,9606.ENSP00000333547,9606.ENSP00000338788,9606.ENSP00000338934,9606.ENSP00000340211,9606.ENSP00000340278,9606.ENSP00000340510,9606.ENSP00000340688,9606.ENSP00000340989,9606.ENSP00000341189,9606.ENSP00000341885,9606.ENSP00000342026,9606.ENSP00000345347,9606.ENSP00000345656,9606.ENSP00000345731,9606.ENSP00000346032,9606.ENSP00000346762,9606.ENSP00000349259,9606.ENSP00000349436,9606.ENSP00000350937,9606.ENSP00000351209,9606.ENSP00000352264,9606.ENSP00000353030,9606.ENSP00000354394,9606.ENSP00000354573,9606.ENSP00000355771,9606.ENSP00000356954,9606.ENSP00000357005,9606.ENSP00000357076,9606.ENSP00000358866,9606.ENSP00000360609,9606.ENSP00000360798,9606.ENSP00000361930,9606.ENSP00000362409,9606.ENSP00000362680,9606.ENSP00000363638,9606.ENSP00000363827,9606.ENSP00000364721,9606.ENSP00000364802,9606.ENSP00000364935,9606.ENSP00000365147,9606.ENSP00000365458,9606.ENSP00000365730,9606.ENSP00000366109,9606.ENSP00000367123,9606.ENSP00000367629,9606.ENSP00000368314,9606.ENSP00000369129,9606.ENSP00000370593,9606.ENSP00000373489,9606.ENSP00000375836,9606.ENSP00000377015,9606.ENSP00000377508,9606.ENSP00000377941,9606.ENSP00000378163,9606.ENSP00000378725,9606.ENSP00000379156,9606.ENSP00000379287,9606.ENSP00000381461,9606.ENSP00000381581,9606.ENSP00000382595,9606.ENSP00000386896,9606.ENSP00000387286,9606.ENSP00000389103,9606.ENSP00000389252,9606.ENSP00000389351,9606.ENSP00000390265,9606.ENSP00000391249,9606.ENSP00000394316,9606.ENSP00000397249,9606.ENSP00000401010,9606.ENSP00000401470,9606.ENSP00000401564,9606.ENSP00000402060,9606.ENSP00000403172,9606.ENSP00000404854,9606.ENSP00000407487,9606.ENSP00000410059,9606.ENSP00000413507,9606.ENSP00000416330,9606.ENSP00000417229,9606.ENSP00000418070,9606.ENSP00000418232,9606.ENSP00000418754,9606.ENSP00000419425,9606.ENSP00000419446,9606.ENSP00000420213,9606.ENSP00000426909,9606.ENSP00000432768,9606.ENSP00000433664,9606.ENSP00000434359,9606.ENSP00000435585,9606.ENSP00000437125,9606.ENSP00000438262,9606.ENSP00000438399,9606.ENSP00000443631,9606.ENSP00000445175,9606.ENSP00000446215,9606.ENSP00000453508,9606.ENSP00000478754,9606.ENSP00000479861,9606.ENSP00000487444,9606.ENSP00000489597,9606.ENSP00000494040,9606.ENSP00000495360,9606.ENSP00000495530,9606.ENSP00000496166,9606.ENSP00000497225	CDH17,ITGB4,VCL,MYH9,AHSA1,EIF5,CHMP4B,OLFM4,EIF3E,LAMB1,PFN1,LRRC59,VTN,RARS1,ATIC,VASP,NECTIN2,ACTN4,LAMA5,EIF2S3,THBS1,ADAM10,DSG2,CDH1,SNX1,PRDX1,CAPZA1,PACSIN2,EPCAM,CAPG,NECTIN1,YWHAE,RAB10,ADD1,USO1,IQGAP1,BCAM,PSMB6,FNBP1L,CGN,S100A11,EGFR,DSC2,OLA1,APP,CCT8,RPL29,S100P,GLOD4,TWF2,FASN,CTNNA1,PCBP1,KIF5B,EEF2,HCFC1,ADAM17,ARHGAP1,LTBP4,CD46,PAK2,SWAP70,TLN1,RUVBL1,NUDC,PKM,CALR,PLEC,TRIM25,HSPA5,LAMA3,PPP1CA,P4HB,EEF1G,RAB11B,ZC3H15,EZR,CORO1B,PARK7,PPL,ADGRL1,SFN,PTK2,RPS2,PRDX6,HMGB1,VAPA,DLG1,ANXA2,SND1,SPTBN1,ADAM15,TES,EPHA2,CD2AP,PTPRF,STAT1,MACF1,AFDN,CCN2,F11R,TAGLN2,FLNA,HSP90AB1,EPS15,YWHAB,NIBAN2,SRC,LYPLA2,HSPG2,MAPRE1,HSPA1A,CLIC1,EFHD2,HNRNPK,STK24,ANXA1,SLC3A2,ARHGEF16,NRCAM,DSP,PTPRD,KRT18,HDLBP,PICALM,JUP,ACTN1,RPL34,KTN1,MPRIP,YWHAZ,PPME1,LCP1,PAICS,ITGA6,RAB1A,RPL23A,NPNT,RPSA,IDH1,SEPTIN9,BZW1,BZW2,CAPZB,RANGAP1,RANBP1,PVR,RPL6,NDRG1,UNC45A,EEF1D,SEPTIN7,TGFBI,EIF2A,NECTIN3,NISCH,PTK7,PPIA,ADAM9,FLNB,RACK1,CKAP5,EIF4G2,PUF60,EPS8L2,HSPA8,TJP2,IST1,PLCB3,LDHA,RAN,TLN2,DDX6,SEPTIN2,SPTAN1,PTPN11,DDX3X,CTNNB1,ENO1,ALDOA,PCMT1
GO:0023026	MHC class II protein complex binding	5	2.84323	bottom	0.0289	afc	9606.ENSP00000264335,9606.ENSP00000320171,9606.ENSP00000335153,9606.ENSP00000360609,9606.ENSP00000437125	YWHAE,PKM,HSP90AA1,HSP90AB1,HSPA8
GO:0051015	Actin filament binding	49	0.803391	bottom	0.0289	ks	9606.ENSP00000211998,9606.ENSP00000216181,9606.ENSP00000219150,9606.ENSP00000246069,9606.ENSP00000248444,9606.ENSP00000252699,9606.ENSP00000262428,9606.ENSP00000262942,9606.ENSP00000263168,9606.ENSP00000263867,9606.ENSP00000264758,9606.ENSP00000268182,9606.ENSP00000275493,9606.ENSP00000303908,9606.ENSP00000304669,9606.ENSP00000316029,9606.ENSP00000316779,9606.ENSP00000324573,9606.ENSP00000336831,9606.ENSP00000338934,9606.ENSP00000340211,9606.ENSP00000345361,9606.ENSP00000348163,9606.ENSP00000348381,9606.ENSP00000349259,9606.ENSP00000350719,9606.ENSP00000351022,9606.ENSP00000354573,9606.ENSP00000354947,9606.ENSP00000355771,9606.ENSP00000358866,9606.ENSP00000358994,9606.ENSP00000377941,9606.ENSP00000379156,9606.ENSP00000381581,9606.ENSP00000387261,9606.ENSP00000394496,9606.ENSP00000401010,9606.ENSP00000420213,9606.ENSP00000427687,9606.ENSP00000432660,9606.ENSP00000437073,9606.ENSP00000453508,9606.ENSP00000456851,9606.ENSP00000481038,9606.ENSP00000487444,9606.ENSP00000493594,9606.ENSP00000494125,9606.ENSP00000498577	VCL,MYH9,CORO1A,DSTN,VIL1,ACTN4,COTL1,ARPC1A,CAPZA1,CAPG,ADD1,IQGAP1,EGFR,TWF2,CTNNA1,TLN1,BIN1,FLII,PLS1,EZR,CORO1B,ARPC5L,PLS3,ADD3,SPTBN1,SYNE2,TPM1,MACF1,CAPZA2,AFDN,FLNA,MYO6,ACTN1,MPRIP,LCP1,PSTPIP2,CORO1C,CAPZB,FLNB,WDR1,CFL1,MYO18A,TLN2,BLOC1S6,CYFIP1,SPTAN1,MYH14,TPM4,TPM3
GO:0003779	Actin binding	78	0.557313	bottom	0.0361	ks	9606.ENSP00000161559,9606.ENSP00000211998,9606.ENSP00000216181,9606.ENSP00000219150,9606.ENSP00000225655,9606.ENSP00000228825,9606.ENSP00000245932,9606.ENSP00000246069,9606.ENSP00000248444,9606.ENSP00000248975,9606.ENSP00000252699,9606.ENSP00000262428,9606.ENSP00000262942,9606.ENSP00000263168,9606.ENSP00000263238,9606.ENSP00000263867,9606.ENSP00000264758,9606.ENSP00000268182,9606.ENSP00000271636,9606.ENSP00000275493,9606.ENSP00000294742,9606.ENSP00000295685,9606.ENSP00000298229,9606.ENSP00000303908,9606.ENSP00000304669,9606.ENSP00000316029,9606.ENSP00000316779,9606.ENSP00000321348,9606.ENSP00000323856,9606.ENSP00000324573,9606.ENSP00000327436,9606.ENSP00000327801,9606.ENSP00000336831,9606.ENSP00000338934,9606.ENSP00000340211,9606.ENSP00000341189,9606.ENSP00000345361,9606.ENSP00000348163,9606.ENSP00000348381,9606.ENSP00000349259,9606.ENSP00000350719,9606.ENSP00000350757,9606.ENSP00000351022,9606.ENSP00000354573,9606.ENSP00000354947,9606.ENSP00000355771,9606.ENSP00000357110,9606.ENSP00000357189,9606.ENSP00000357704,9606.ENSP00000358866,9606.ENSP00000358994,9606.ENSP00000361883,9606.ENSP00000367220,9606.ENSP00000373706,9606.ENSP00000377941,9606.ENSP00000379156,9606.ENSP00000381581,9606.ENSP00000385905,9606.ENSP00000387261,9606.ENSP00000388169,9606.ENSP00000389631,9606.ENSP00000394496,9606.ENSP00000401010,9606.ENSP00000420213,9606.ENSP00000427687,9606.ENSP00000432660,9606.ENSP00000435585,9606.ENSP00000437073,9606.ENSP00000442600,9606.ENSP00000453508,9606.ENSP00000456851,9606.ENSP00000481038,9606.ENSP00000487444,9606.ENSP00000491215,9606.ENSP00000493594,9606.ENSP00000494125,9606.ENSP00000496166,9606.ENSP00000498577	CEACAM1,VCL,MYH9,CORO1A,PFN1,ARPC3,VASP,DSTN,VIL1,YWHAH,ACTN4,COTL1,ARPC1A,CAPZA1,ACTR3,CAPG,ADD1,IQGAP1,CGN,EGFR,ARPC5,ARPC2,INPPL1,TWF2,CTNNA1,TLN1,BIN1,DIAPH2,PLEC,FLII,SETD3,P4HB,PLS1,EZR,CORO1B,PTK2,ARPC5L,PLS3,ADD3,SPTBN1,SYNE2,GMFB,TPM1,MACF1,CAPZA2,AFDN,EPB41L2,HDGF,S100A4,FLNA,MYO6,CAP1,ACTR2,DIAPH1,ACTN1,MPRIP,LCP1,DNASE1,PSTPIP2,ARPC4,ARPC1B,CORO1C,CAPZB,FLNB,WDR1,CFL1,EPS8L2,MYO18A,DAG1,TLN2,BLOC1S6,CYFIP1,SPTAN1,HNRNPU,MYH14,TPM4,ALDOA,TPM3
GO:0023023	MHC protein complex binding	6	2.35921	bottom	0.0361	afc	9606.ENSP00000264335,9606.ENSP00000320171,9606.ENSP00000335153,9606.ENSP00000360609,9606.ENSP00000429150,9606.ENSP00000437125	YWHAE,PKM,HSP90AA1,HSP90AB1,FAM49B,HSPA8
GO:0044325	Transmembrane transporter binding	20	0.972823	bottom	0.0361	afc	9606.ENSP00000247665,9606.ENSP00000248975,9606.ENSP00000252699,9606.ENSP00000264335,9606.ENSP00000265729,9606.ENSP00000335153,9606.ENSP00000345731,9606.ENSP00000358866,9606.ENSP00000360609,9606.ENSP00000362680,9606.ENSP00000367323,9606.ENSP00000368767,9606.ENSP00000373706,9606.ENSP00000377941,9606.ENSP00000379287,9606.ENSP00000383003,9606.ENSP00000403362,9606.ENSP00000466134,9606.ENSP00000495360,9606.ENSP00000499717	PHPT1,YWHAH,ACTN4,YWHAE,SRI,HSP90AA1,DLG1,FLNA,HSP90AB1,SRC,KCNAB2,ASPH,DIAPH1,ACTN1,YWHAZ,FKBP1A,AP2M1,PRKCSH,CTNNB1,CALM1
GO:0051082	Unfolded protein binding	43	0.38579	bottom	0.0361	ks	9606.ENSP00000222005,9606.ENSP00000233893,9606.ENSP00000246957,9606.ENSP00000247461,9606.ENSP00000251047,9606.ENSP00000258080,9606.ENSP00000258091,9606.ENSP00000259253,9606.ENSP00000265195,9606.ENSP00000275603,9606.ENSP00000279146,9606.ENSP00000280326,9606.ENSP00000285667,9606.ENSP00000286428,9606.ENSP00000286788,9606.ENSP00000295688,9606.ENSP00000296930,9606.ENSP00000297185,9606.ENSP00000299300,9606.ENSP00000299767,9606.ENSP00000300026,9606.ENSP00000314030,9606.ENSP00000317334,9606.ENSP00000319664,9606.ENSP00000320866,9606.ENSP00000324173,9606.ENSP00000335153,9606.ENSP00000340019,9606.ENSP00000341289,9606.ENSP00000356989,9606.ENSP00000360609,9606.ENSP00000364802,9606.ENSP00000369127,9606.ENSP00000369915,9606.ENSP00000377958,9606.ENSP00000378563,9606.ENSP00000414398,9606.ENSP00000419425,9606.ENSP00000434412,9606.ENSP00000437125,9606.ENSP00000447942,9606.ENSP00000448035,9606.ENSP00000482075	CDC37,HSPE1,TRAP1,CANX,LMAN1,HTRA2,CCT7,UGGT1,SIL1,CCT6A,AIP,CCT5,HSPA13,VBP1,CCT8,CCT3,NPM1,HSPA9,CCT2,HSP90B1,PPIB,DNAJA2,TCP1,NUDC,CALR,HSPA5,HSP90AA1,HSPD1,TUBB4B,PFDN2,HSP90AB1,HSPA1A,DNAJA1,NAP1L4,CCT4,PFDN6,DNAJB11,PPIA,SERPINH1,HSPA8,PFDN5,NACA,PTGES3
GO:0008092	Cytoskeletal protein binding	152	0.363356	bottom	0.0363	ks	9606.ENSP00000001008,9606.ENSP00000012443,9606.ENSP00000161559,9606.ENSP00000211998,9606.ENSP00000216038,9606.ENSP00000216129,9606.ENSP00000216181,9606.ENSP00000219150,9606.ENSP00000225655,9606.ENSP00000228825,9606.ENSP00000245932,9606.ENSP00000246069,9606.ENSP00000248444,9606.ENSP00000248975,9606.ENSP00000252699,9606.ENSP00000259339,9606.ENSP00000260363,9606.ENSP00000260385,9606.ENSP00000261769,9606.ENSP00000262428,9606.ENSP00000262613,9606.ENSP00000262942,9606.ENSP00000263168,9606.ENSP00000263238,9606.ENSP00000263246,9606.ENSP00000263867,9606.ENSP00000264710,9606.ENSP00000264758,9606.ENSP00000266546,9606.ENSP00000268182,9606.ENSP00000271636,9606.ENSP00000275493,9606.ENSP00000278193,9606.ENSP00000278568,9606.ENSP00000278572,9606.ENSP00000280326,9606.ENSP00000286428,9606.ENSP00000290378,9606.ENSP00000294742,9606.ENSP00000295685,9606.ENSP00000298229,9606.ENSP00000298492,9606.ENSP00000303423,9606.ENSP00000303634,9606.ENSP00000303908,9606.ENSP00000304669,9606.ENSP00000307078,9606.ENSP00000316029,9606.ENSP00000316779,9606.ENSP00000320663,9606.ENSP00000321347,9606.ENSP00000321348,9606.ENSP00000323856,9606.ENSP00000324573,9606.ENSP00000327436,9606.ENSP00000327801,9606.ENSP00000329715,9606.ENSP00000333547,9606.ENSP00000335153,9606.ENSP00000336831,9606.ENSP00000338934,9606.ENSP00000340211,9606.ENSP00000341189,9606.ENSP00000345361,9606.ENSP00000345656,9606.ENSP00000345731,9606.ENSP00000346032,9606.ENSP00000348163,9606.ENSP00000348381,9606.ENSP00000349259,9606.ENSP00000350719,9606.ENSP00000350757,9606.ENSP00000351022,9606.ENSP00000354573,9606.ENSP00000354681,9606.ENSP00000354720,9606.ENSP00000354791,9606.ENSP00000354947,9606.ENSP00000355771,9606.ENSP00000356448,9606.ENSP00000356652,9606.ENSP00000357110,9606.ENSP00000357189,9606.ENSP00000357704,9606.ENSP00000357709,9606.ENSP00000357748,9606.ENSP00000358866,9606.ENSP00000358994,9606.ENSP00000360609,9606.ENSP00000361883,9606.ENSP00000362751,9606.ENSP00000362946,9606.ENSP00000364585,9606.ENSP00000364721,9606.ENSP00000366513,9606.ENSP00000367220,9606.ENSP00000368314,9606.ENSP00000369055,9606.ENSP00000373706,9606.ENSP00000373905,9606.ENSP00000376911,9606.ENSP00000377015,9606.ENSP00000377148,9606.ENSP00000377298,9606.ENSP00000377941,9606.ENSP00000378338,9606.ENSP00000378725,9606.ENSP00000378731,9606.ENSP00000379156,9606.ENSP00000379181,9606.ENSP00000380070,9606.ENSP00000380378,9606.ENSP00000381581,9606.ENSP00000384273,9606.ENSP00000385905,9606.ENSP00000387261,9606.ENSP00000388169,9606.ENSP00000389631,9606.ENSP00000394496,9606.ENSP00000400175,9606.ENSP00000401010,9606.ENSP00000402460,9606.ENSP00000404854,9606.ENSP00000414982,9606.ENSP00000418447,9606.ENSP00000420213,9606.ENSP00000427687,9606.ENSP00000427985,9606.ENSP00000432660,9606.ENSP00000432768,9606.ENSP00000434513,9606.ENSP00000435585,9606.ENSP00000437073,9606.ENSP00000440945,9606.ENSP00000442600,9606.ENSP00000449089,9606.ENSP00000453508,9606.ENSP00000456851,9606.ENSP00000464359,9606.ENSP00000468312,9606.ENSP00000481038,9606.ENSP00000487365,9606.ENSP00000487444,9606.ENSP00000491215,9606.ENSP00000493594,9606.ENSP00000494040,9606.ENSP00000494125,9606.ENSP00000494750,9606.ENSP00000495631,9606.ENSP00000496166,9606.ENSP00000498577,9606.ENSP00000499717	FKBP4,PPP5C,CEACAM1,VCL,RTCB,TTLL12,MYH9,CORO1A,PFN1,ARPC3,VASP,DSTN,VIL1,YWHAH,ACTN4,TOR1B,KIF23,RMDN3,CDH1,COTL1,SLC9A3R1,ARPC1A,CAPZA1,ACTR3,PACSIN2,CAPG,RAB10,ADD1,CLSTN3,IQGAP1,CGN,EGFR,LIN7C,PAK1,RPS3,CCT5,VBP1,ACTC1,ARPC5,ARPC2,INPPL1,ABRAXAS2,FNTA,LRP8,TWF2,CTNNA1,KIF5B,TLN1,BIN1,EML4,STRBP,DIAPH2,PLEC,FLII,SETD3,P4HB,DRG1,RAB11B,HSP90AA1,PLS1,EZR,CORO1B,PTK2,ARPC5L,VAPA,DLG1,ANXA2,PLS3,ADD3,SPTBN1,SYNE2,GMFB,TPM1,MACF1,OPA1,SMC3,DCTN1,CAPZA2,AFDN,TPR,CACYBP,EPB41L2,HDGF,S100A4,S100A6,BCCIP,FLNA,MYO6,HSP90AB1,CAP1,RABGAP1,RAB14,RCC2,MAPRE1,CLSTN1,ACTR2,NRCAM,B4GALT1,DIAPH1,DNM2,LGMN,PICALM,AP1G1,NUMA1,ACTN1,GIT1,KTN1,ALDOC,MPRIP,RAE1,GAPDH,PAFAH1B1,LCP1,RELA,DNASE1,PSTPIP2,ARPC4,ARPC1B,CORO1C,RHOA,CAPZB,CLSTN2,NDRG1,KLC1,PPP2CA,FLNB,WDR1,DPYSL2,CFL1,CKAP5,EML3,EPS8L2,MYO18A,PACSIN3,DAG1,DNM1L,TLN2,BLOC1S6,MYL12A,EML2,CYFIP1,HSPH1,SPTAN1,HNRNPU,MYH14,DDX3X,TPM4,ACTB,ARHGEF7,ALDOA,TPM3,CALM1
