#term ID	term description	genes mapped	enrichment score	direction	false discovery rate	method	matching proteins in your input (IDs)	matching proteins in your input (labels)
GO:0031983	Vesicle lumen	100	0.38653	bottom	2.08e-05	ks	9606.ENSP00000053867,9606.ENSP00000211998,9606.ENSP00000215754,9606.ENSP00000216962,9606.ENSP00000219022,9606.ENSP00000219313,9606.ENSP00000223321,9606.ENSP00000227266,9606.ENSP00000252699,9606.ENSP00000259457,9606.ENSP00000260118,9606.ENSP00000260356,9606.ENSP00000261416,9606.ENSP00000261712,9606.ENSP00000262193,9606.ENSP00000262455,9606.ENSP00000262776,9606.ENSP00000264639,9606.ENSP00000267884,9606.ENSP00000269848,9606.ENSP00000271308,9606.ENSP00000271638,9606.ENSP00000275493,9606.ENSP00000284719,9606.ENSP00000284981,9606.ENSP00000286788,9606.ENSP00000290158,9606.ENSP00000291565,9606.ENSP00000291568,9606.ENSP00000296370,9606.ENSP00000299300,9606.ENSP00000302728,9606.ENSP00000302886,9606.ENSP00000306920,9606.ENSP00000307940,9606.ENSP00000309474,9606.ENSP00000310129,9606.ENSP00000320171,9606.ENSP00000321584,9606.ENSP00000335153,9606.ENSP00000339001,9606.ENSP00000339063,9606.ENSP00000340648,9606.ENSP00000340736,9606.ENSP00000341289,9606.ENSP00000342026,9606.ENSP00000345347,9606.ENSP00000346032,9606.ENSP00000346839,9606.ENSP00000347872,9606.ENSP00000348442,9606.ENSP00000348965,9606.ENSP00000349687,9606.ENSP00000351777,9606.ENSP00000352257,9606.ENSP00000354532,9606.ENSP00000355011,9606.ENSP00000356056,9606.ENSP00000356574,9606.ENSP00000358045,9606.ENSP00000359540,9606.ENSP00000359991,9606.ENSP00000360609,9606.ENSP00000360635,9606.ENSP00000361562,9606.ENSP00000361883,9606.ENSP00000365042,9606.ENSP00000366525,9606.ENSP00000367220,9606.ENSP00000367615,9606.ENSP00000368646,9606.ENSP00000369081,9606.ENSP00000370115,9606.ENSP00000375978,9606.ENSP00000376886,9606.ENSP00000377508,9606.ENSP00000377696,9606.ENSP00000377941,9606.ENSP00000378731,9606.ENSP00000378760,9606.ENSP00000381607,9606.ENSP00000386541,9606.ENSP00000390265,9606.ENSP00000391211,9606.ENSP00000396937,9606.ENSP00000401508,9606.ENSP00000405573,9606.ENSP00000411613,9606.ENSP00000416583,9606.ENSP00000418695,9606.ENSP00000419425,9606.ENSP00000428184,9606.ENSP00000437125,9606.ENSP00000442318,9606.ENSP00000466259,9606.ENSP00000481029,9606.ENSP00000481038,9606.ENSP00000487444,9606.ENSP00000494040,9606.ENSP00000496166	GRN,VCL,MIF,PYGB,OLFM4,PSMD7,PSMA2,CTSC,ACTN4,PSMB7,GGH,THBS1,HEXB,PSMD11,PSMB1,ERP44,LGALS3BP,PSMD3,SRP14,PFKL,PSMA5,S100A11,EGFR,OLA1,APP,CCT8,KPNB1,PDXK,CSTB,S100P,CCT2,GUSB,PA2G4,GLB1,EEF2,PSMD1,PSMD2,PKM,IMPDH2,HSP90AA1,TUBB,EEF1A1,HUWE1,GYG1,TUBB4B,PRDX6,HMGB1,ANXA2,FN1,VAT1,PSMD12,DYNC1H1,GM2A,VCP,XRCC6,PNP,ILF2,DYNLT1,QSOX1,ECM1,CREG1,PGAM1,HSP90AB1,DPP7,CTSA,CAP1,CSNK2B,FTL,ACTR2,APRT,PRDX4,TXNDC5,SERPINB1,XRCC5,NME2,JUP,NIT2,ACTN1,ALDOC,MVP,GSTP1,PSMD14,IDH1,PSMC2,PSMD13,NAPRT,GPI,AOC1,DERA,PSMD6,PPIA,SDCBP,HSPA8,CAND1,ACLY,PSMC3,CYFIP1,SPTAN1,DDX3X,ALDOA
GO:0034774	Secretory granule lumen	99	0.380273	bottom	2.08e-05	ks	9606.ENSP00000053867,9606.ENSP00000211998,9606.ENSP00000215754,9606.ENSP00000216962,9606.ENSP00000219022,9606.ENSP00000219313,9606.ENSP00000223321,9606.ENSP00000227266,9606.ENSP00000252699,9606.ENSP00000259457,9606.ENSP00000260118,9606.ENSP00000260356,9606.ENSP00000261416,9606.ENSP00000261712,9606.ENSP00000262193,9606.ENSP00000262455,9606.ENSP00000262776,9606.ENSP00000264639,9606.ENSP00000267884,9606.ENSP00000269848,9606.ENSP00000271308,9606.ENSP00000271638,9606.ENSP00000284719,9606.ENSP00000284981,9606.ENSP00000286788,9606.ENSP00000290158,9606.ENSP00000291565,9606.ENSP00000291568,9606.ENSP00000296370,9606.ENSP00000299300,9606.ENSP00000302728,9606.ENSP00000302886,9606.ENSP00000306920,9606.ENSP00000307940,9606.ENSP00000309474,9606.ENSP00000310129,9606.ENSP00000320171,9606.ENSP00000321584,9606.ENSP00000335153,9606.ENSP00000339001,9606.ENSP00000339063,9606.ENSP00000340648,9606.ENSP00000340736,9606.ENSP00000341289,9606.ENSP00000342026,9606.ENSP00000345347,9606.ENSP00000346032,9606.ENSP00000346839,9606.ENSP00000347872,9606.ENSP00000348442,9606.ENSP00000348965,9606.ENSP00000349687,9606.ENSP00000351777,9606.ENSP00000352257,9606.ENSP00000354532,9606.ENSP00000355011,9606.ENSP00000356056,9606.ENSP00000356574,9606.ENSP00000358045,9606.ENSP00000359540,9606.ENSP00000359991,9606.ENSP00000360609,9606.ENSP00000360635,9606.ENSP00000361562,9606.ENSP00000361883,9606.ENSP00000365042,9606.ENSP00000366525,9606.ENSP00000367220,9606.ENSP00000367615,9606.ENSP00000368646,9606.ENSP00000369081,9606.ENSP00000370115,9606.ENSP00000375978,9606.ENSP00000376886,9606.ENSP00000377508,9606.ENSP00000377696,9606.ENSP00000377941,9606.ENSP00000378731,9606.ENSP00000378760,9606.ENSP00000381607,9606.ENSP00000386541,9606.ENSP00000390265,9606.ENSP00000391211,9606.ENSP00000396937,9606.ENSP00000401508,9606.ENSP00000405573,9606.ENSP00000411613,9606.ENSP00000416583,9606.ENSP00000418695,9606.ENSP00000419425,9606.ENSP00000428184,9606.ENSP00000437125,9606.ENSP00000442318,9606.ENSP00000466259,9606.ENSP00000481029,9606.ENSP00000481038,9606.ENSP00000487444,9606.ENSP00000494040,9606.ENSP00000496166	GRN,VCL,MIF,PYGB,OLFM4,PSMD7,PSMA2,CTSC,ACTN4,PSMB7,GGH,THBS1,HEXB,PSMD11,PSMB1,ERP44,LGALS3BP,PSMD3,SRP14,PFKL,PSMA5,S100A11,OLA1,APP,CCT8,KPNB1,PDXK,CSTB,S100P,CCT2,GUSB,PA2G4,GLB1,EEF2,PSMD1,PSMD2,PKM,IMPDH2,HSP90AA1,TUBB,EEF1A1,HUWE1,GYG1,TUBB4B,PRDX6,HMGB1,ANXA2,FN1,VAT1,PSMD12,DYNC1H1,GM2A,VCP,XRCC6,PNP,ILF2,DYNLT1,QSOX1,ECM1,CREG1,PGAM1,HSP90AB1,DPP7,CTSA,CAP1,CSNK2B,FTL,ACTR2,APRT,PRDX4,TXNDC5,SERPINB1,XRCC5,NME2,JUP,NIT2,ACTN1,ALDOC,MVP,GSTP1,PSMD14,IDH1,PSMC2,PSMD13,NAPRT,GPI,AOC1,DERA,PSMD6,PPIA,SDCBP,HSPA8,CAND1,ACLY,PSMC3,CYFIP1,SPTAN1,DDX3X,ALDOA
GO:0030864	Cortical actin cytoskeleton	19	1.80039	bottom	0.00021	afc	9606.ENSP00000211998,9606.ENSP00000216181,9606.ENSP00000219150,9606.ENSP00000246069,9606.ENSP00000252699,9606.ENSP00000254770,9606.ENSP00000268182,9606.ENSP00000295006,9606.ENSP00000336831,9606.ENSP00000339063,9606.ENSP00000349259,9606.ENSP00000355124,9606.ENSP00000357110,9606.ENSP00000361883,9606.ENSP00000367220,9606.ENSP00000377941,9606.ENSP00000416293,9606.ENSP00000427687,9606.ENSP00000487444	VCL,MYH9,CORO1A,DSTN,ACTN4,LANCL2,IQGAP1,CAPN2,PLS1,EEF1A1,SPTBN1,KRT19,EPB41L2,CAP1,ACTR2,ACTN1,SLC2A1,WDR1,SPTAN1
GO:0030141	Secretory granule	153	0.241797	bottom	0.00049	ks	9606.ENSP00000053867,9606.ENSP00000161559,9606.ENSP00000205402,9606.ENSP00000211998,9606.ENSP00000215754,9606.ENSP00000216181,9606.ENSP00000216962,9606.ENSP00000219022,9606.ENSP00000219313,9606.ENSP00000223321,9606.ENSP00000227266,9606.ENSP00000242786,9606.ENSP00000249923,9606.ENSP00000252244,9606.ENSP00000252699,9606.ENSP00000254301,9606.ENSP00000259457,9606.ENSP00000260118,9606.ENSP00000260356,9606.ENSP00000260408,9606.ENSP00000261416,9606.ENSP00000261712,9606.ENSP00000262193,9606.ENSP00000262455,9606.ENSP00000262506,9606.ENSP00000262646,9606.ENSP00000262776,9606.ENSP00000264639,9606.ENSP00000264710,9606.ENSP00000265062,9606.ENSP00000267622,9606.ENSP00000267884,9606.ENSP00000268150,9606.ENSP00000268182,9606.ENSP00000269848,9606.ENSP00000271308,9606.ENSP00000271638,9606.ENSP00000273130,9606.ENSP00000273398,9606.ENSP00000273550,9606.ENSP00000284719,9606.ENSP00000284981,9606.ENSP00000286788,9606.ENSP00000287097,9606.ENSP00000290158,9606.ENSP00000291565,9606.ENSP00000291568,9606.ENSP00000296370,9606.ENSP00000296456,9606.ENSP00000299300,9606.ENSP00000302728,9606.ENSP00000302886,9606.ENSP00000305692,9606.ENSP00000306920,9606.ENSP00000307940,9606.ENSP00000309474,9606.ENSP00000310129,9606.ENSP00000317334,9606.ENSP00000320171,9606.ENSP00000320866,9606.ENSP00000321584,9606.ENSP00000327694,9606.ENSP00000333298,9606.ENSP00000333769,9606.ENSP00000335153,9606.ENSP00000339001,9606.ENSP00000339063,9606.ENSP00000340019,9606.ENSP00000340648,9606.ENSP00000340736,9606.ENSP00000341289,9606.ENSP00000342026,9606.ENSP00000345347,9606.ENSP00000345672,9606.ENSP00000346032,9606.ENSP00000346839,9606.ENSP00000347872,9606.ENSP00000348442,9606.ENSP00000348461,9606.ENSP00000348965,9606.ENSP00000349687,9606.ENSP00000351777,9606.ENSP00000352257,9606.ENSP00000354532,9606.ENSP00000355011,9606.ENSP00000356056,9606.ENSP00000356574,9606.ENSP00000357905,9606.ENSP00000358045,9606.ENSP00000359540,9606.ENSP00000359991,9606.ENSP00000360609,9606.ENSP00000360635,9606.ENSP00000361562,9606.ENSP00000361883,9606.ENSP00000364403,9606.ENSP00000364802,9606.ENSP00000365042,9606.ENSP00000366525,9606.ENSP00000367220,9606.ENSP00000367323,9606.ENSP00000367615,9606.ENSP00000368646,9606.ENSP00000369081,9606.ENSP00000369129,9606.ENSP00000370115,9606.ENSP00000371958,9606.ENSP00000373706,9606.ENSP00000373918,9606.ENSP00000375978,9606.ENSP00000376297,9606.ENSP00000376886,9606.ENSP00000377508,9606.ENSP00000377696,9606.ENSP00000377941,9606.ENSP00000378394,9606.ENSP00000378731,9606.ENSP00000378760,9606.ENSP00000381448,9606.ENSP00000381607,9606.ENSP00000386541,9606.ENSP00000390265,9606.ENSP00000391211,9606.ENSP00000396937,9606.ENSP00000398632,9606.ENSP00000400010,9606.ENSP00000400175,9606.ENSP00000401508,9606.ENSP00000405573,9606.ENSP00000408411,9606.ENSP00000411613,9606.ENSP00000413606,9606.ENSP00000415786,9606.ENSP00000416583,9606.ENSP00000418525,9606.ENSP00000418695,9606.ENSP00000419425,9606.ENSP00000428184,9606.ENSP00000431984,9606.ENSP00000437125,9606.ENSP00000442318,9606.ENSP00000447730,9606.ENSP00000455114,9606.ENSP00000466259,9606.ENSP00000481029,9606.ENSP00000481038,9606.ENSP00000484343,9606.ENSP00000487444,9606.ENSP00000493560,9606.ENSP00000494040,9606.ENSP00000496166,9606.ENSP00000497691,9606.ENSP00000498587	GRN,CEACAM1,DLD,VCL,MIF,MYH9,PYGB,OLFM4,PSMD7,PSMA2,CTSC,ADGRE5,COPB1,KRT1,ACTN4,LGALS3,PSMB7,GGH,THBS1,ADAM10,HEXB,PSMD11,PSMB1,ERP44,CSNK2A2,RAB2A,LGALS3BP,PSMD3,RAB10,RAB7A,TRIP11,SRP14,MFGE8,IQGAP1,PFKL,PSMA5,S100A11,DYNC1LI1,ATP6V1A,FTH1,OLA1,APP,CCT8,CD109,KPNB1,PDXK,CSTB,S100P,APEH,CCT2,GUSB,PA2G4,GAA,GLB1,EEF2,PSMD1,PSMD2,TCP1,PKM,CALR,IMPDH2,AP2A2,LAMP1,BSG,HSP90AA1,TUBB,EEF1A1,HSPD1,HUWE1,GYG1,TUBB4B,PRDX6,HMGB1,CTSB,ANXA2,FN1,VAT1,PSMD12,RAC1,DYNC1H1,GM2A,VCP,XRCC6,PNP,ILF2,DYNLT1,QSOX1,DMBT1,ECM1,CREG1,PGAM1,HSP90AB1,DPP7,CTSA,CAP1,UBR4,HSPA1A,CSNK2B,FTL,ACTR2,KCNAB2,APRT,PRDX4,TXNDC5,DSP,SERPINB1,CD9,DIAPH1,GARS1,XRCC5,DYNLL1,NME2,JUP,NIT2,ACTN1,PSAP,ALDOC,MVP,CST3,GSTP1,PSMD14,IDH1,PSMC2,PSMD13,CD44,PTPRJ,RHOA,NAPRT,GPI,LAMP2,AOC1,STXBP2,SERPINE2,DERA,MME,PSMD6,PPIA,SDCBP,CAPN1,HSPA8,CAND1,CD63,HEXA,ACLY,PSMC3,CYFIP1,SERPINB6,SPTAN1,VPS13C,DDX3X,ALDOA,APLP2,NOTCH1
GO:1904813	ficolin-1-rich granule lumen	62	0.16269	bottom	0.00049	ks	9606.ENSP00000211998,9606.ENSP00000215754,9606.ENSP00000219313,9606.ENSP00000223321,9606.ENSP00000252244,9606.ENSP00000259457,9606.ENSP00000261712,9606.ENSP00000262193,9606.ENSP00000264639,9606.ENSP00000267884,9606.ENSP00000269848,9606.ENSP00000271308,9606.ENSP00000273550,9606.ENSP00000286788,9606.ENSP00000290158,9606.ENSP00000291568,9606.ENSP00000296456,9606.ENSP00000302728,9606.ENSP00000306920,9606.ENSP00000307940,9606.ENSP00000310129,9606.ENSP00000320171,9606.ENSP00000321584,9606.ENSP00000335153,9606.ENSP00000339063,9606.ENSP00000340648,9606.ENSP00000340736,9606.ENSP00000345347,9606.ENSP00000345672,9606.ENSP00000348442,9606.ENSP00000351777,9606.ENSP00000352257,9606.ENSP00000354532,9606.ENSP00000355011,9606.ENSP00000356056,9606.ENSP00000359991,9606.ENSP00000360609,9606.ENSP00000364802,9606.ENSP00000365042,9606.ENSP00000367220,9606.ENSP00000368646,9606.ENSP00000376886,9606.ENSP00000377508,9606.ENSP00000378731,9606.ENSP00000378760,9606.ENSP00000381448,9606.ENSP00000381607,9606.ENSP00000386541,9606.ENSP00000390265,9606.ENSP00000391211,9606.ENSP00000396937,9606.ENSP00000405573,9606.ENSP00000416583,9606.ENSP00000418695,9606.ENSP00000419425,9606.ENSP00000431984,9606.ENSP00000437125,9606.ENSP00000442318,9606.ENSP00000466259,9606.ENSP00000481029,9606.ENSP00000494040,9606.ENSP00000496166	VCL,MIF,PSMD7,PSMA2,KRT1,PSMB7,PSMD11,PSMB1,PSMD3,SRP14,PFKL,PSMA5,FTH1,CCT8,KPNB1,CSTB,APEH,GUSB,GLB1,EEF2,PSMD2,PKM,IMPDH2,HSP90AA1,EEF1A1,HUWE1,GYG1,HMGB1,CTSB,PSMD12,VCP,XRCC6,PNP,ILF2,DYNLT1,PGAM1,HSP90AB1,HSPA1A,CSNK2B,ACTR2,PRDX4,NME2,JUP,ALDOC,MVP,CST3,GSTP1,PSMD14,IDH1,PSMC2,PSMD13,GPI,DERA,PSMD6,PPIA,CAPN1,HSPA8,CAND1,ACLY,PSMC3,DDX3X,ALDOA
GO:0030016	Myofibril	25	1.05352	bottom	0.0040	ks	9606.ENSP00000211998,9606.ENSP00000252699,9606.ENSP00000261479,9606.ENSP00000290378,9606.ENSP00000309334,9606.ENSP00000323856,9606.ENSP00000349259,9606.ENSP00000351022,9606.ENSP00000355124,9606.ENSP00000358866,9606.ENSP00000361818,9606.ENSP00000377508,9606.ENSP00000377941,9606.ENSP00000394496,9606.ENSP00000401010,9606.ENSP00000416293,9606.ENSP00000420213,9606.ENSP00000442600,9606.ENSP00000464359,9606.ENSP00000480359,9606.ENSP00000494125,9606.ENSP00000495360,9606.ENSP00000495530,9606.ENSP00000496166,9606.ENSP00000498577	VCL,ACTN4,PSMA6,ACTC1,RPL15,PLEC,SPTBN1,TPM1,KRT19,FLNA,SDC4,JUP,ACTN1,CORO1C,CAPZB,SLC2A1,FLNB,DAG1,MYL12A,PDLIM5,TPM4,CTNNB1,ENO1,ALDOA,TPM3
GO:0030017	Sarcomere	22	1.20706	bottom	0.0040	ks	9606.ENSP00000252699,9606.ENSP00000261479,9606.ENSP00000290378,9606.ENSP00000309334,9606.ENSP00000323856,9606.ENSP00000349259,9606.ENSP00000351022,9606.ENSP00000355124,9606.ENSP00000358866,9606.ENSP00000377508,9606.ENSP00000377941,9606.ENSP00000394496,9606.ENSP00000401010,9606.ENSP00000416293,9606.ENSP00000420213,9606.ENSP00000464359,9606.ENSP00000480359,9606.ENSP00000494125,9606.ENSP00000495360,9606.ENSP00000495530,9606.ENSP00000496166,9606.ENSP00000498577	ACTN4,PSMA6,ACTC1,RPL15,PLEC,SPTBN1,TPM1,KRT19,FLNA,JUP,ACTN1,CORO1C,CAPZB,SLC2A1,FLNB,MYL12A,PDLIM5,TPM4,CTNNB1,ENO1,ALDOA,TPM3
GO:0099503	Secretory vesicle	161	0.218277	bottom	0.0040	ks	9606.ENSP00000053867,9606.ENSP00000161559,9606.ENSP00000205402,9606.ENSP00000211998,9606.ENSP00000215754,9606.ENSP00000216181,9606.ENSP00000216962,9606.ENSP00000219022,9606.ENSP00000219313,9606.ENSP00000223321,9606.ENSP00000227266,9606.ENSP00000229340,9606.ENSP00000242285,9606.ENSP00000242786,9606.ENSP00000249923,9606.ENSP00000252244,9606.ENSP00000252699,9606.ENSP00000254301,9606.ENSP00000259457,9606.ENSP00000260118,9606.ENSP00000260356,9606.ENSP00000260408,9606.ENSP00000261416,9606.ENSP00000261712,9606.ENSP00000262193,9606.ENSP00000262455,9606.ENSP00000262506,9606.ENSP00000262646,9606.ENSP00000262776,9606.ENSP00000264639,9606.ENSP00000264710,9606.ENSP00000265062,9606.ENSP00000267622,9606.ENSP00000267884,9606.ENSP00000268150,9606.ENSP00000268182,9606.ENSP00000269848,9606.ENSP00000271308,9606.ENSP00000271638,9606.ENSP00000273130,9606.ENSP00000273398,9606.ENSP00000273550,9606.ENSP00000276390,9606.ENSP00000284719,9606.ENSP00000284981,9606.ENSP00000286788,9606.ENSP00000287097,9606.ENSP00000290158,9606.ENSP00000291565,9606.ENSP00000291568,9606.ENSP00000296370,9606.ENSP00000296456,9606.ENSP00000299300,9606.ENSP00000302728,9606.ENSP00000302886,9606.ENSP00000305692,9606.ENSP00000306920,9606.ENSP00000307940,9606.ENSP00000309474,9606.ENSP00000310129,9606.ENSP00000317334,9606.ENSP00000320171,9606.ENSP00000320866,9606.ENSP00000321584,9606.ENSP00000327694,9606.ENSP00000333298,9606.ENSP00000333769,9606.ENSP00000335153,9606.ENSP00000339001,9606.ENSP00000339063,9606.ENSP00000340019,9606.ENSP00000340648,9606.ENSP00000340736,9606.ENSP00000341289,9606.ENSP00000342026,9606.ENSP00000345347,9606.ENSP00000345672,9606.ENSP00000346032,9606.ENSP00000346839,9606.ENSP00000347872,9606.ENSP00000348442,9606.ENSP00000348461,9606.ENSP00000348965,9606.ENSP00000349687,9606.ENSP00000350512,9606.ENSP00000351777,9606.ENSP00000352257,9606.ENSP00000354532,9606.ENSP00000355011,9606.ENSP00000356056,9606.ENSP00000356574,9606.ENSP00000357905,9606.ENSP00000358045,9606.ENSP00000359540,9606.ENSP00000359991,9606.ENSP00000360609,9606.ENSP00000360635,9606.ENSP00000361562,9606.ENSP00000361883,9606.ENSP00000364403,9606.ENSP00000364802,9606.ENSP00000365042,9606.ENSP00000366525,9606.ENSP00000367220,9606.ENSP00000367323,9606.ENSP00000367615,9606.ENSP00000368646,9606.ENSP00000369081,9606.ENSP00000369129,9606.ENSP00000370115,9606.ENSP00000371958,9606.ENSP00000373706,9606.ENSP00000373918,9606.ENSP00000375978,9606.ENSP00000376297,9606.ENSP00000376886,9606.ENSP00000377508,9606.ENSP00000377696,9606.ENSP00000377941,9606.ENSP00000378394,9606.ENSP00000378731,9606.ENSP00000378760,9606.ENSP00000381448,9606.ENSP00000381607,9606.ENSP00000386541,9606.ENSP00000390265,9606.ENSP00000391211,9606.ENSP00000396937,9606.ENSP00000398632,9606.ENSP00000400010,9606.ENSP00000400175,9606.ENSP00000401508,9606.ENSP00000405573,9606.ENSP00000408411,9606.ENSP00000411613,9606.ENSP00000413606,9606.ENSP00000415786,9606.ENSP00000416583,9606.ENSP00000418525,9606.ENSP00000418695,9606.ENSP00000419425,9606.ENSP00000424655,9606.ENSP00000428184,9606.ENSP00000431984,9606.ENSP00000437125,9606.ENSP00000442318,9606.ENSP00000447730,9606.ENSP00000449089,9606.ENSP00000455114,9606.ENSP00000466259,9606.ENSP00000467600,9606.ENSP00000479861,9606.ENSP00000481029,9606.ENSP00000481038,9606.ENSP00000484343,9606.ENSP00000487444,9606.ENSP00000493560,9606.ENSP00000494040,9606.ENSP00000496166,9606.ENSP00000497691,9606.ENSP00000498587	GRN,CEACAM1,DLD,VCL,MIF,MYH9,PYGB,OLFM4,PSMD7,PSMA2,CTSC,RAB35,CLTA,ADGRE5,COPB1,KRT1,ACTN4,LGALS3,PSMB7,GGH,THBS1,ADAM10,HEXB,PSMD11,PSMB1,ERP44,CSNK2A2,RAB2A,LGALS3BP,PSMD3,RAB10,RAB7A,TRIP11,SRP14,MFGE8,IQGAP1,PFKL,PSMA5,S100A11,DYNC1LI1,ATP6V1A,FTH1,ATP6V1B2,OLA1,APP,CCT8,CD109,KPNB1,PDXK,CSTB,S100P,APEH,CCT2,GUSB,PA2G4,GAA,GLB1,EEF2,PSMD1,PSMD2,TCP1,PKM,CALR,IMPDH2,AP2A2,LAMP1,BSG,HSP90AA1,TUBB,EEF1A1,HSPD1,HUWE1,GYG1,TUBB4B,PRDX6,HMGB1,CTSB,ANXA2,FN1,VAT1,PSMD12,RAC1,DYNC1H1,GM2A,COPS5,VCP,XRCC6,PNP,ILF2,DYNLT1,QSOX1,DMBT1,ECM1,CREG1,PGAM1,HSP90AB1,DPP7,CTSA,CAP1,UBR4,HSPA1A,CSNK2B,FTL,ACTR2,KCNAB2,APRT,PRDX4,TXNDC5,DSP,SERPINB1,CD9,DIAPH1,GARS1,XRCC5,DYNLL1,NME2,JUP,NIT2,ACTN1,PSAP,ALDOC,MVP,CST3,GSTP1,PSMD14,IDH1,PSMC2,PSMD13,CD44,PTPRJ,RHOA,NAPRT,GPI,LAMP2,AOC1,STXBP2,SERPINE2,DERA,MME,PSMD6,PPIA,COPS4,SDCBP,CAPN1,HSPA8,CAND1,CD63,DNM1L,HEXA,ACLY,SYNGR2,SEPTIN2,PSMC3,CYFIP1,SERPINB6,SPTAN1,VPS13C,DDX3X,ALDOA,APLP2,NOTCH1
GO:0101002	ficolin-1-rich granule	76	0.111243	bottom	0.0040	ks	9606.ENSP00000211998,9606.ENSP00000215754,9606.ENSP00000219313,9606.ENSP00000223321,9606.ENSP00000249923,9606.ENSP00000252244,9606.ENSP00000254301,9606.ENSP00000259457,9606.ENSP00000261712,9606.ENSP00000262193,9606.ENSP00000264639,9606.ENSP00000267884,9606.ENSP00000269848,9606.ENSP00000271308,9606.ENSP00000273130,9606.ENSP00000273550,9606.ENSP00000286788,9606.ENSP00000290158,9606.ENSP00000291568,9606.ENSP00000296456,9606.ENSP00000302728,9606.ENSP00000305692,9606.ENSP00000306920,9606.ENSP00000307940,9606.ENSP00000310129,9606.ENSP00000320171,9606.ENSP00000321584,9606.ENSP00000327694,9606.ENSP00000333298,9606.ENSP00000335153,9606.ENSP00000339063,9606.ENSP00000340648,9606.ENSP00000340736,9606.ENSP00000345347,9606.ENSP00000345672,9606.ENSP00000348442,9606.ENSP00000348461,9606.ENSP00000351777,9606.ENSP00000352257,9606.ENSP00000354532,9606.ENSP00000355011,9606.ENSP00000356056,9606.ENSP00000359991,9606.ENSP00000360609,9606.ENSP00000364403,9606.ENSP00000364802,9606.ENSP00000365042,9606.ENSP00000367220,9606.ENSP00000368646,9606.ENSP00000369129,9606.ENSP00000373706,9606.ENSP00000376297,9606.ENSP00000376886,9606.ENSP00000377508,9606.ENSP00000378731,9606.ENSP00000378760,9606.ENSP00000381448,9606.ENSP00000381607,9606.ENSP00000386541,9606.ENSP00000390265,9606.ENSP00000391211,9606.ENSP00000396937,9606.ENSP00000400175,9606.ENSP00000405573,9606.ENSP00000408411,9606.ENSP00000416583,9606.ENSP00000418695,9606.ENSP00000419425,9606.ENSP00000431984,9606.ENSP00000437125,9606.ENSP00000442318,9606.ENSP00000466259,9606.ENSP00000481029,9606.ENSP00000484343,9606.ENSP00000494040,9606.ENSP00000496166	VCL,MIF,PSMD7,PSMA2,COPB1,KRT1,LGALS3,PSMB7,PSMD11,PSMB1,PSMD3,SRP14,PFKL,PSMA5,DYNC1LI1,FTH1,CCT8,KPNB1,CSTB,APEH,GUSB,GAA,GLB1,EEF2,PSMD2,PKM,IMPDH2,AP2A2,LAMP1,HSP90AA1,EEF1A1,HUWE1,GYG1,HMGB1,CTSB,PSMD12,RAC1,VCP,XRCC6,PNP,ILF2,DYNLT1,PGAM1,HSP90AB1,UBR4,HSPA1A,CSNK2B,ACTR2,PRDX4,DSP,DIAPH1,DYNLL1,NME2,JUP,ALDOC,MVP,CST3,GSTP1,PSMD14,IDH1,PSMC2,PSMD13,RHOA,GPI,LAMP2,DERA,PSMD6,PPIA,CAPN1,HSPA8,CAND1,ACLY,PSMC3,SERPINB6,DDX3X,ALDOA
GO:1905368	Peptidase complex	44	0.0954759	bottom	0.0040	ks	9606.ENSP00000044462,9606.ENSP00000157812,9606.ENSP00000210313,9606.ENSP00000216455,9606.ENSP00000216802,9606.ENSP00000219313,9606.ENSP00000223321,9606.ENSP00000259335,9606.ENSP00000259457,9606.ENSP00000261303,9606.ENSP00000261479,9606.ENSP00000261601,9606.ENSP00000261712,9606.ENSP00000262193,9606.ENSP00000264639,9606.ENSP00000265164,9606.ENSP00000270586,9606.ENSP00000271308,9606.ENSP00000290541,9606.ENSP00000293362,9606.ENSP00000295006,9606.ENSP00000305790,9606.ENSP00000309474,9606.ENSP00000310129,9606.ENSP00000310572,9606.ENSP00000348442,9606.ENSP00000351314,9606.ENSP00000351777,9606.ENSP00000355325,9606.ENSP00000357876,9606.ENSP00000359910,9606.ENSP00000362334,9606.ENSP00000363993,9606.ENSP00000364016,9606.ENSP00000372155,9606.ENSP00000386541,9606.ENSP00000391211,9606.ENSP00000396937,9606.ENSP00000414359,9606.ENSP00000418695,9606.ENSP00000464849,9606.ENSP00000481029,9606.ENSP00000483688,9606.ENSP00000484998	PSMA4,PSMC4,PSMD5,PSMA3,PSME2,PSMD7,PSMA2,ECPAS,PSMB7,PSMC1,PSMA6,USP14,PSMD11,PSMB1,PSMD3,CASP6,PSMB6,PSMA5,PSMB4,PSME3,CAPN2,SF3B3,PSMD1,PSMD2,PSMC5,PSMD12,PSMB10,VCP,PSMB5,PSMD4,PSMA7,PSMB2,PSMB9,PSMB8,PSME1,PSMD14,PSMC2,PSMD13,PSMA1,PSMD6,CAPNS1,PSMC3,PSMB3,PSMC6
