2DEVP_S1;2DEVP_S2;2DEVP_S3;2DExomere_S1;2DExomere_S2;2DExomere_S3;2DSuper_S1;2DSuper_S2;2DSuper_S3;3DEVP_S1;3DEVP_S2;3DEVP_S3;3DExomere_S1;3DExomere_S2;3DExomere_S3;3DSuper_S1;3DSuper_S2;3DSuper_S3;FPLCExomere_S1;FPLCExomere_S2;FPLCExomere_S3;FPLCExomere_S4;FPLCSuper_S1;FPLCSuper_S2;FPLCSuper_S3;FPLCSuper_S4;3DEV_S1;3DEV_S2;3DEV_S3;3DEV_S4;3DhEV_S1;3DhEV_S2;3DhEV_S3;3DhEV_S4;3DNV_S1;3DNV_S2;3DNV_S3;3DNV_S4
2,32;2,52;2,35;3,26;3,27;3,03;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1,58;0,96;2,10;0,00;0,00;0,00;0,00;0,00;0,00;2,53;2,99;1,53;1,55;0,00;1,00;0,00;0,96;1,04;0,00;0,00;0,00;0,00;0,91;1,53;0,92;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
4,45;4,32;5,04;4,89;4,85;5,23;3,50;3,49;4,66;5,29;5,36;5,04;4,03;3,95;4,25;2,62;1,94;3,06;1,71;4,00;2,25;3,39;0,00;0,00;0,00;0,00;0,00;1,37;1,27;1,33;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1,00;1,94;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,05;1,17;1,23;0,00;0,00;0,00;0,00;1,38;3,60;3,24;2,01;2,05;0,00;0,00;0,00;0,00;0,00;0,00;0,00
0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,38;2,53;1,93;2,01;4,53;4,34;2,80;3,62;2,70;0,00;0,00;0,00
1,00;0,96;0,86;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3,95;3,94;4,47;3,88;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
0,00;0,96;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,97;0,00;0,96;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,74;4,44;4,55;4,57;4,71;2,89;3,69;3,24;0,00;0,00;0,00;0,00
3,99;4,25;4,81;2,94;3,11;3,76;1,44;1,52;2,42;4,58;4,13;4,24;2,28;1,03;1,00;0,00;0,00;0,00;2,15;2,40;2,25;3,56;0,00;0,00;0,00;0,00;0,00;0,00;1,27;1,33;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2,58;2,74;3,73;0,00;1,54;1,48;0,00;0,00;0,00;2,27;1,46;1,53;0,97;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;1,23;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
0,00;0,00;1,40;0,00;0,00;0,00;0,00;0,00;1,85;2,75;2,83;2,51;0,97;1,03;0,00;0,00;0,00;1,04;0,00;1,05;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1,58;0,00;2,10;0,00;1,95;1,48;2,41;2,50;2,83;2,75;2,42;2,25;0,00;0,00;0,00;0,00;0,00;0,00;1,10;1,65;1,81;1,89;0,00;1,53;0,92;0,00;2,07;2,06;1,27;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1,99;2,26;1,40;1,95;1,95;0,92;0,00;0,00;0,00;1,54;1,46;0,96;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2,07;2,06;1,93;1,33;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2,58;2,74;2,57;2,27;2,53;1,48;0,89;0,95;0,00;2,27;2,42;2,51;0,00;0,00;1,00;0,00;0,00;0,00;0,00;1,05;0,00;1,89;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
0,00;0,00;1,40;1,95;1,54;0,92;0,89;1,52;2,16;3,11;2,83;2,51;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,89;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
