"","sEVp_2D_S1","sEVp_2D_S2","sEVp_2D_S3","Exomere_2D_S4","Exomere_2D_S5","Exomere_2D_S6","Supermere_2D_S7","Supermere_2D_S8","Supermere_2D_S9","sEVp_3D_S10","sEVp_3D_S11","sEVp_3D_S12","Exomere_3D_S13","Exomere_3D_S14","Exomere_3D_S15","Supermere_3D_S16","Supermere_3D_S17","Supermere_3D_S18","Exomere_FPLC_S19","Exomere_FPLC_S20","Exomere_FPLC_S21","Exomere_FPLC_S22","Supermere_FPLC_S23","Supermere_FPLC_S24","Supermere_FPLC_S25","Supermere_FPLC_S26","sEV_3D_W_S1","sEV_3D_W_S2","sEV_3D_W_S3","sEV_3D_W_S4","hEV_3D_W_S5","hEV_3D_W_S6","hEV_3D_W_S7","hEV_3D_W_S8","NV_3D_W_S9","NV_3D_W_S10","NV_3D_W_S11","NV_3D_W_S12","Supermere_NCB_A","Supermere_NCB_B","Supermere_NCB_C","EV_NCB_A","EV_NCB_B","EV_NCB_C","NV_NCB_A","NV_NCB_B","NV_NCB_C","Exomere_NCB_A","Exomere_NCB_B","Exomere_NCB_C","sEVp_2D_1","sEVp_3D_1_A","sEVp_3D_1_B","sEVp_3D_1_C","Exomere_2D_1","Exomere_3D_1_A","Exomere_3D_1_B","Exomere_3D_1_C","Supermere_2D_1","Supermere_3D_1_A","Supermere_3D_1_B","Supermere_3D_1_C"
"A2M",4.18008585488431,4.97383764389296,4.31070225447007,9.01988151420825,9.04941318692389,7.50839249612111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.33928212009393,2.04664992054134,1.82735261808861,1.14441323166886,7.03110140537494,9.42250257466529,5.94660212250977,2.86841254445522,0,0,0,5.28934817170111,1.28559008211238,0.691444405957742,2.0310666440563,0,0,0,0
"AACS",2.09004292744215,0.994767528778592,3.44856180357606,0,0,0,0,0,0,5.01456993569132,7.31979648897649,1.97496908236458,2.01677106486159,0,1.05557611971868,0,0.997800659802059,1.10299480605592,0,0,0,0,0.919230060784675,1.98173334657004,0.932803738317757,0,0,0,0,0,0,0,0,0,0,0,0,0,1.44678383765175,1.4730472641405,0,0,1.23956780923994,0,5.11662480135336,2.74102892713292,2.28882646333773,2.10933042161248,1.71318228630278,1.48665053062744,0.717103136113805,0,0,0.682065124543001,0,0,1.38288881191548,0,0,1.94510848382487,3.24068963278029,2.76405427859319
"AAMP",0,0,0.862140450894014,1.00220905713425,1.00549035410265,0.938549062015139,2.7075684962474,3.91469333725548,6.39397821909033,2.00582797427653,3.65989824448824,1.97496908236458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4730472641405,2.19065735084318,0,0,0,0,0,0,1.40622028107499,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AARS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.4251494836021,22.0957089621075,21.9065735084318,10.6854783207158,4.95827123695976,2.67856424018786,34.7930486492029,36.5470523617722,38.9100498767414,36.5617273079497,35.9768280123584,37.1662632656861,34.4209505334627,3.20430193828003,6.09547397706453,3.410325622715,25.1244038155803,4.49956528739333,6.91444405957742,7.44724436153977,7.78270898989571,5.8353254514746,11.018344751453,2.76405427859319
"AARS1",21.9454507381426,19.8953505755718,33.6234775848665,30.0662717140275,29.159220268977,38.4805115426207,10.8302739849896,10.7654066774526,25.5759128763613,40.1165594855305,42.0888298116148,33.5744744001979,16.1341685188927,15.2257150640153,19.0003701549363,5.40653269053681,2.99340197940618,7.72096364239142,2.39769383220227,15.7713318284424,3.93365738307935,9.94264977942223,0,0,0,0,0,1.67171928649192,1.47735346358792,1.59581101606843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABCA1",1.04502146372108,2.98430258633578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1265237020316,1.31121912769312,1.42037853991746,0,0,0,0,1.68427269659129,11.7020350054434,8.86412078152753,3.19162203213686,3.30825323168711,0,0,0,0,0,0,0,0,0,0,25.9504473503097,24.7913561847988,26.7856424018786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABCB6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.68427269659129,5.01515785947576,2.95470692717584,3.19162203213686,23.1577726218097,20.150067294751,6.24105049241832,11.8433699199051,5.75937680323139,0,0,0,0,0,0,3.05299380591879,0,1.33928212009393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABCC1",1.04502146372108,0.994767528778592,0.862140450894014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.1584542693216,15.0454735784273,22.1603019538188,14.3622991446159,0,0,0,0,0,0,0,0,0,0,0,4.57949070887818,6.1978390461997,5.35712848037571,0,0,0,0,0,0,0,0,0,2.046195373629,0,0,0,0,0,0,0,0
"ABCC3",0,0.994767528778592,0,0,0,0,0,0,0,1.00291398713826,0,0.98748454118229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.9483631454607,21.7323507243949,23.6376554174067,23.9371652410265,26.4660258534968,6.71668909825034,12.4821009848366,8.8825274399288,0,0,0,0,0,0,0,6.10598761183758,7.43740685543964,10.7142569607514,0,0,0,0,0,0,1.43420627222761,7.20967936113006,4.74092420438352,5.456520996344,0,0,0,0,0,0,0,0
"ABCE1",15.6753219558161,18.9005830467932,28.4506348795025,7.01546339993975,8.04392283282124,13.139686868212,1.80504566416493,1.95734666862774,4.56712729935023,24.0699356913183,17.3845166613192,18.7622062824635,4.03354212972318,1.08755107600109,1.05557611971868,0,0,0,3.59654074830341,4.50609480812641,3.93365738307935,11.3630283193397,0,0,0,0,0,0,1.47735346358792,1.59581101606843,0,0,0,0,0,0,0,0,2.8935676753035,0,2.92087646779091,3.05299380591879,4.95827123695976,2.67856424018786,14.3265494437894,14.6188209447089,14.8773720116952,11.2497622485999,8.5659114315139,6.6899273878235,8.60523763336566,9.61290581484008,13.5454977268101,12.959237366317,1.98350556438792,0.642795041056191,2.07433321787322,2.0310666440563,0,0,0,0
