,Supermere_2D_S7,Supermere_2D_S8,Supermere_2D_S9,Supermere_3D_S16,Supermere_3D_S17,Supermere_3D_S18,Supermere_FPLC_S23,Supermere_FPLC_S24,Supermere_FPLC_S25,Supermere_FPLC_S26,S1_DiFi_FPLC_2uL,S2_DiFi_His_2uL,S3_CCCR_FPLC_2uL,S4_CCCR_His_2uL
TGFBI,8.64329251673108,8.36952629300792,8.558954251637,7.52855056270593,7.82036896477839,7.5570473424587,8.13181018321935,7.89504070608348,8.0500049961696,8.61569049702459,9.38165813718756,9.64782902141074,9.4078573373373,10.2669966342271
GPI,6.74555191810255,6.46877153668846,7.30950621381173,8.52076555350723,8.58018565180557,8.59514328815914,9.85081804472799,9.69963049959708,9.71266166476215,10.0097609544312,8.32112402249425,8.95774856848095,7.80684521314179,8.53091700545949
TKT,6.72322106632987,6.46877153668846,6.95923446757886,7.90049678246962,8.14682841227134,8.11869487926238,9.37698448498974,9.20671596664592,9.16111792875918,9.41134472908097,8.83647961947711,8.78455587350867,8.41285943870864,9.30638542805027
ENO1,6.98021629827693,6.81632337083637,7.10620153335125,8.11090615328919,8.32543652301842,8.17004304783899,8.25583241178956,8.31949885212608,8.00288072137796,8.21124530693553,7.70969684077074,6.94828872096954,8.14836936582561,6.26055033577755
ALDOA,6.33866616719255,6.10669660092957,6.00865087731172,7.68900478720172,7.73657134070163,7.89280722551026,8.01963578545725,8.57015135435705,8.57955773242816,7.00613218255848,8.29236028695268,8.51068523339028,8.09915840938832,8.32648371250021
LDHA,6.67749487304983,6.43936349650002,6.42742569350339,7.80818710052894,8.02596855570888,7.81106156352155,8.81657169903306,8.50697372153727,8.56665265037154,8.62272731374613,7.6655180700558,5.95992405207731,8.28037356080904,6.19996770983246
ACTN4,8.03466788043414,7.87175916410124,8.02907608939076,8.67856909879133,8.90204668737894,8.71062254312533,7.20006773504536,7.36417334017452,7.03684350441915,7.74721295905355,6.67260660199198,6.5273987125592,5.98928859793352,6.55471827092097
FLNB,7.73881370275787,7.65222513308852,7.58487808825798,7.77605632112487,7.7670608414035,7.7980638102104,7.24066592443078,7.28269196129744,7.30116538230099,7.54722930638134,7.47388777440187,7.29683755870571,5.79105723610292,5.92845883350099
LDHB,6.87273130503707,6.62060128970906,6.8170811057456,7.28545506816029,7.38993207041604,7.37646784429609,8.17853209022278,7.79867612807215,7.88827111983347,8.11970444948836,7.58479233822802,5.21909149385663,7.48433831306604,4.71274025418457
FLNA,7.02654558082172,7.13339519592592,7.0528278610413,7.19113562265538,7.06623502379583,7.25806787107921,6.60763928699579,6.82254338799602,6.86829120714813,6.81047459179525,7.52423397881695,7.43871315725982,7.0828738119022,7.14262639789927
CALR,4.97682740360042,5.48496874129076,5.329072195522,7.62550584114878,7.64760462344871,6.98740647233921,8.24389910105006,7.94885770479268,8.1657767257127,8.74385166205883,6.89934959714902,6.5468161549154,6.56666113552829,7.00775102191515
HSP90AA1,7.52954599900964,7.4384787280326,7.79991111012561,7.04778454943317,7.12391297000078,7.11865802549031,6.27384024604826,6.31670125732974,6.40031846088575,7.48680698582443,6.34863234560928,6.33977182855485,6.48144079876642,6.64838043854647
SPTAN1,7.86145984511009,7.73926604490382,7.44687249198078,8.53235312862319,8.43203044319991,8.40678187442626,6.59516901370998,6.51525914204944,6.47127978162392,7.08976417879773,5.85348944381222,5.5998353226857,4.59141921398203,4.79696315513653
YWHAE,5.81280216131732,5.77123161103569,6.21709619521258,6.28557253194126,6.53941040967152,6.21952318505323,7.40685735689582,7.05624968063272,7.13627055457094,7.51733444562587,7.5487631950295,6.33977182855485,7.24678212911767,7.37958182121838
PDIA4,5.81280216131732,5.67358153429534,5.69696020887404,7.04778454943317,7.07600957461008,6.95263908518367,7.0064711487639,6.8454246646072,6.97957638012428,7.28868924957318,7.19185794880139,6.88866476532617,6.7417816824866,7.26596349365776
TPI1,5.63283187346731,5.36497255488896,5.44409109583178,6.73661620471566,7.02646080023459,6.65396174899045,7.89291306983847,7.69541124030945,7.54436036314169,7.76640288469743,7.26770010837339,5.35747478365931,6.94643408068995,6.50550360693803
YWHAZ,5.85449331337311,5.67358153429534,6.52210781387669,6.59645608183422,6.78563165710713,6.56468791813291,7.44904618599801,7.30762318453742,7.61500854021923,7.56925081963535,7.29695473812489,5.95992405207731,6.43686539139705,6.13672911883829
SPTBN1,7.49041321250458,7.36999040171085,7.27107286621968,7.76954339247255,7.82036896477839,7.82394326026209,6.69203750475333,6.4420884258831,6.59082696324765,6.92875304969225,6.26227551500411,5.988606781751,4.59141921398203,4.42582070520397
P4HB,6.18374429499536,5.77123161103569,5.52471102297496,7.11097243995006,7.32583651007777,6.92898645021193,6.69203750475333,6.73947419520129,6.82559663255215,6.28019414959466,6.67260660199198,6.88866476532617,6.31900132789291,6.64838043854647
HSPA8,6.71192466991385,6.62060128970906,7.1407176166763,6.26719701439247,6.31016640622699,6.25800095029594,6.84732594504671,6.68976629758554,6.91994176310844,6.79809541181866,6.65011098885598,5.67234774246843,6.62742737715261,6.28991359816854
GGH,6.26328374240735,6.21478843941172,6.45511768692773,6.40803741710712,6.76160573165181,6.50194735331392,7.53643098416976,7.00636082227798,7.10090300141923,7.34933644897375,5.77249427949332,6.27138490101176,5.82604551579065,6.13672911883829
VCL,6.1506586341442,5.96941583638137,5.91204760303158,6.80190006115623,6.63508079151087,6.66831804909277,6.51799527087685,6.65132813683071,6.65319699889294,6.34969925509452,7.2073486972047,5.70728149544787,7.61011039219959,6.45455060851718
PGAM1,5.0858619687225,5.09012215322045,5.44409109583178,6.13156537265963,6.64824444309911,5.98732574134631,7.74271535562478,7.27428488407805,7.36218472872352,7.35779590578036,6.55644765313972,6.07138438802724,6.72334106110668,6.98996924039412
LCP1,6.46515948474268,6.43936349650002,6.28038311786139,6.44119937649702,6.32663615166098,6.51789013919073,6.77177007923263,6.5848972279045,6.62857159296381,6.82274845410557,6.78010589084424,7.03334445422839,5.18353074651929,5.77077831081318
QSOX1,7.0714332646309,7.11491296137509,6.53514049300544,6.13156537265963,6.03748478850771,6.07614464806321,5.70592355659935,6.007429601939,6.0934913649028,6.44805512181222,6.43011067290574,5.95992405207731,6.84773369419766,7.09351384375164
NME2,5.83379833151389,5.77123161103569,5.6010632248083,6.40803741710712,6.24234027682024,6.48582641803146,6.74943541494435,6.61183775801113,6.64093683676675,6.96242496823499,6.55644765313972,6.29454260568305,6.19064452712431,6.64838043854647
PDIA3,5.9915979638167,6.0687881565475,6.13387178038809,6.15173962427552,6.15281171681669,6.1598111306452,6.28940488553765,6.26672143742185,6.26306820104682,6.26228175819479,6.75923730376728,6.60354800737013,6.79573011378643,7.05981800543711
GOT2,5.0858619687225,4.84303945686884,5.35869795876996,6.26719701439247,6.40627738242931,6.41947854470912,7.31098225751447,7.07573199263267,6.9599707959873,7.36620604832565,6.62725904323512,6.33977182855485,6.10776487884125,6.64838043854647
EEF2,7.1149663635733,6.92640612118551,7.2315875676829,6.42471367779614,6.32663615166098,6.43635375480432,5.50727255914362,5.78877006727233,5.74968838816729,5.36728154810242,6.2916392364669,6.67587865552522,6.54582332509416,6.42838299132884
CTSC,5.95373649061607,5.77123161103569,5.87151924047698,5.47382236277501,6.11538447280866,5.81738055644988,7.35602522532558,7.0365006717432,7.15363441969214,7.33226725527195,5.93017811492412,6.6401665782073,6.04974257803595,5.92845883350099
CDH17,7.29985724522355,7.0482943051988,7.59735827970891,7.98162935084807,8.36184995787479,7.74486914239664,6.88878809860339,7.19633170262576,7.55746549099701,5.46448525955911,5.77249427949332,5.40080215820579,2.68640964602462,1.36536450103624
ECM1,5.89501343161551,5.96941583638137,4.70156915057604,6.85208020317664,6.83251548339673,6.63946115182341,6.49132521331258,6.36500742689824,6.47127978162392,6.85895568259039,6.55644765313972,6.24784940340365,6.04974257803595,6.42838299132884
HSPA5,5.89501343161551,5.92766772247686,5.329072195522,6.47361616760832,6.45203379092279,6.48582641803146,6.55709811036464,6.14289292734345,6.53891377425936,6.61261273569197,6.86068653616917,6.01673035860141,6.56666113552829,6.42838299132884
PCSK9,6.6060676988566,6.56722090341599,6.26481974967226,6.19126102214351,6.03748478850771,6.1598111306452,6.30480339528652,6.14289292734345,6.1976094191134,4.94150946297519,6.20169191185053,6.85790252595125,6.84773369419766,6.40173196404142
IQGAP1,6.9516873543311,6.89425418477362,6.80637054800936,6.32163598619272,6.39069697262191,6.54925671398307,5.99883640533992,5.94523958977001,6.12903885530196,6.64061548390082,6.07231293816096,5.90078898119267,5.33695940503851,5.27924613611351
PGK1,6.16729630763566,6.02985668321109,6.0636529491928,6.76308529160658,6.9327447635191,6.80453150585976,6.76064596760923,6.82254338799602,6.72464740325004,5.66866675745209,6.97369960274847,5.48373839452539,6.50322244714664,3.1508960348579
PNP,5.83379833151389,5.51347067823145,5.62564165646351,6.04792304847377,5.9121315006455,5.96423952393248,6.59516901370998,6.31670125732974,6.48506261627314,6.73455423343848,6.45627865467718,6.24784940340365,6.24336536300091,6.104039009383
