,2DEVP_S1,2DEVP_S2,2DEVP_S3,2DExomere_S1,2DExomere_S2,2DExomere_S3,2DSuper_S1,2DSuper_S2,2DSuper_S3,3DEVP_S1,3DEVP_S2,3DEVP_S3,3DExomere_S1,3DExomere_S2,3DExomere_S3,3DSuper_S1,3DSuper_S2,3DSuper_S3,FPLCExomere_S1,FPLCExomere_S2,FPLCExomere_S3,FPLCExomere_S4,FPLCSuper_S1,FPLCSuper_S2,FPLCSuper_S3,FPLCSuper_S4,3DEV_S1,3DEV_S2,3DEV_S3,3DEV_S4,3DhEV_S1,3DhEV_S2,3DhEV_S3,3DhEV_S4,3DNV_S1,3DNV_S2,3DNV_S3,3DNV_S4,NCBSuper_S1,NCBSuper_S2,NCBSuper_S3,NCBEV_S1,NCBEV_S2,NCBEV_S2,NCBExomere_S1,NCBExomere_S2,NCBExomere_S3
A2M,2.316116017,2.519953374,2.351701379,3.261216432,3.265441068,3.026589061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.185956953,2.94380414,3.317774311,2.735914953
AACS,1.58012073,0.961347078,2.098758683,0,0,0,0,0,0,2.529675346,2.9944429,1.526262086,1.546060213,0,1.003619168,0,0.963485218,1.03574445,0,0,0,0,0.90705003,1.529484238,0.916958742,0,0,0,0,0,0,0,0,0,0,0,0,0,1.249442867,1.264537373,0,0,1.124462919,0,1.588954437,1.395685978,1.272293996
AAMP,0,0,0.864613417,0.966587184,0.968891745,0.921132385,1.839113208,2.240990417,2.825330619,1.540903575,2.164986415,1.526262086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.264537373,1.625618656,0,0,0,1.225814757,0,0
AARS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.482279533,4.461890204,4.450052926,3.482040271,2.516220617,1.827934899,5.162320824,5.139709406,5.185324799
AARS1,4.452494049,4.317777446,5.044971775,4.888809872,4.846130027,5.234104327,3.499731284,3.491832663,4.663973997,5.292610147,5.360123829,5.042931425,4.032231982,3.95387427,4.254777207,2.620025286,1.944875303,3.061983348,1.714955817,4.001444414,2.246490367,3.387705307,0,0,0,0,0,1.373875901,1.266997295,1.333072201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCA1,0.996370196,1.941625202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.05142317,1.168913826,1.234105921,0,0,0,0,1.380514028,3.601888181,3.238727139,2.013916734,2.053047961,0,0,0,0,0,0,0,0,0,0,4.684126092,4.620825287,4.72807568,0,0,0
ABCB6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.380514028,2.529815193,1.931003366,2.013916734,4.526614972,4.335216011,2.795384697,3.617789703,2.69678497,0,0,0,0,0,0,1.965981088,0,1.185956953,0,0,0
ABCC1,0.996370196,0.961347078,0.864613417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.947899965,3.937808665,4.46591069,3.875236924,0,0,0,0,0,0,0,0,0,0,0,2.422279928,2.786809276,2.608944111,0,0,0
ABCC3,0,0.961347078,0,0,0,0,0,0,0,0.96708259,0,0.956200116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.736484697,4.439062363,4.554934114,4.572331312,4.711414598,2.886554086,3.687544579,3.241403097,0,0,0,0,0,0,0,2.768410014,3.014573476,3.485573737,0,0,0
ABCE1,3.993186609,4.247579354,4.811887427,2.941009732,3.114149002,3.756000002,1.442864021,1.51783371,2.419108186,4.579976752,4.133559819,4.237538143,2.275117866,1.025359956,1.003619168,0,0,0,2.145448836,2.403347751,2.246490367,3.563016736,0,0,0,0,0,0,1.266997295,1.333072201,0,0,0,0,0,0,0,0,1.908809775,0,1.9187651,1.965981088,2.516220617,1.827934899,3.549792363,3.194667265,2.881574594
ABCF1,2.578907744,2.740444656,3.734739458,0,1.543333959,1.47881758,0,0,0,2.268893588,1.455392216,1.526262086,0.970922069,0,1.003619168,0,0,0,0,0,0,1.234105921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.908809775,2.171928609,1.257310231,1.965981088,1.124462919,1.185956953,3.549792363,3.317774311,3.350560448
ABCF3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABHD10,0,0,1.401468483,0,0,0,0,0,1.851615862,2.750456577,2.827430592,2.511206051,0.970922069,1.025359956,0,0,0,1.03574445,0,1.05142317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.151774346,1.264537373,0,0,0,0,0.739362081,0,0
