#term ID	term description	genes mapped	enrichment score	direction	false discovery rate	method	matching proteins in your input (IDs)	matching proteins in your input (labels)
GO:0030864	Cortical actin cytoskeleton	18	1.96397	bottom	0.00056	afc	9606.ENSP00000211998,9606.ENSP00000216181,9606.ENSP00000246069,9606.ENSP00000252699,9606.ENSP00000254770,9606.ENSP00000268182,9606.ENSP00000295006,9606.ENSP00000336831,9606.ENSP00000339063,9606.ENSP00000349259,9606.ENSP00000354923,9606.ENSP00000355124,9606.ENSP00000357110,9606.ENSP00000361883,9606.ENSP00000367220,9606.ENSP00000377941,9606.ENSP00000427687,9606.ENSP00000487444	VCL,MYH9,DSTN,ACTN4,LANCL2,IQGAP1,CAPN2,PLS1,EEF1A1,SPTBN1,DMD,KRT19,EPB41L2,CAP1,ACTR2,ACTN1,WDR1,SPTAN1
GO:0005903	Brush border	23	0.940297	bottom	0.0010	ks	9606.ENSP00000211998,9606.ENSP00000216181,9606.ENSP00000248444,9606.ENSP00000263238,9606.ENSP00000303356,9606.ENSP00000323856,9606.ENSP00000335153,9606.ENSP00000336831,9606.ENSP00000338934,9606.ENSP00000348381,9606.ENSP00000354947,9606.ENSP00000358866,9606.ENSP00000360609,9606.ENSP00000364935,9606.ENSP00000369055,9606.ENSP00000377941,9606.ENSP00000389326,9606.ENSP00000401010,9606.ENSP00000418525,9606.ENSP00000420213,9606.ENSP00000446955,9606.ENSP00000449089,9606.ENSP00000493594	VCL,MYH9,VIL1,ACTR3,DCXR,PLEC,HSP90AA1,PLS1,EZR,ADD3,CAPZA2,FLNA,HSP90AB1,CLIC1,B4GALT1,ACTN1,ACE2,CAPZB,MME,FLNB,MYL6,DNM1L,MYH14
GO:0009986	Cell surface	93	0.301627	bottom	0.0010	ks	9606.ENSP00000027335,9606.ENSP00000161559,9606.ENSP00000199764,9606.ENSP00000200181,9606.ENSP00000212355,9606.ENSP00000215754,9606.ENSP00000216124,9606.ENSP00000216968,9606.ENSP00000221130,9606.ENSP00000221992,9606.ENSP00000225698,9606.ENSP00000252483,9606.ENSP00000254301,9606.ENSP00000260356,9606.ENSP00000261590,9606.ENSP00000261601,9606.ENSP00000261735,9606.ENSP00000261918,9606.ENSP00000262030,9606.ENSP00000262455,9606.ENSP00000263636,9606.ENSP00000263735,9606.ENSP00000263798,9606.ENSP00000264039,9606.ENSP00000265986,9606.ENSP00000266546,9606.ENSP00000270233,9606.ENSP00000275493,9606.ENSP00000281821,9606.ENSP00000284981,9606.ENSP00000287097,9606.ENSP00000292401,9606.ENSP00000295006,9606.ENSP00000296350,9606.ENSP00000300289,9606.ENSP00000303208,9606.ENSP00000303366,9606.ENSP00000305988,9606.ENSP00000306100,9606.ENSP00000313875,9606.ENSP00000316029,9606.ENSP00000317272,9606.ENSP00000320084,9606.ENSP00000320866,9606.ENSP00000324173,9606.ENSP00000327801,9606.ENSP00000333298,9606.ENSP00000335153,9606.ENSP00000339328,9606.ENSP00000339477,9606.ENSP00000340019,9606.ENSP00000345347,9606.ENSP00000345672,9606.ENSP00000346032,9606.ENSP00000346890,9606.ENSP00000349436,9606.ENSP00000351209,9606.ENSP00000352288,9606.ENSP00000353731,9606.ENSP00000354923,9606.ENSP00000356030,9606.ENSP00000359077,9606.ENSP00000359864,9606.ENSP00000360609,9606.ENSP00000360730,9606.ENSP00000361818,9606.ENSP00000362095,9606.ENSP00000366513,9606.ENSP00000367123,9606.ENSP00000367888,9606.ENSP00000369055,9606.ENSP00000370542,9606.ENSP00000372313,9606.ENSP00000376197,9606.ENSP00000377015,9606.ENSP00000378191,9606.ENSP00000383053,9606.ENSP00000386896,9606.ENSP00000389326,9606.ENSP00000398632,9606.ENSP00000400010,9606.ENSP00000402060,9606.ENSP00000402460,9606.ENSP00000415786,9606.ENSP00000418525,9606.ENSP00000432973,9606.ENSP00000437402,9606.ENSP00000442600,9606.ENSP00000454071,9606.ENSP00000491215,9606.ENSP00000495530,9606.ENSP00000498587,9606.ENSP00000499129	CDH17,CEACAM1,CEACAM6,ITGB4,TGFBR3,MIF,ARSA,PROCR,GSR,CEACAM5,C1QBP,NECTIN2,LGALS3,THBS1,DSG2,USP14,ERP29,SEMA7A,ATP5F1B,ERP44,LY75,EPCAM,TYRO3,GPC1,IDE,CLSTN3,BCAM,EGFR,EPHA4,APP,CD109,AZGP1,CAPN2,MELTF,PDIA3,PCSK9,LMAN2,ALCAM,PAM,CD46,TLN1,MET,CD276,CALR,HSPA5,P4HB,LAMP1,HSP90AA1,PLAUR,ICOSLG,HSPD1,HMGB1,CTSB,ANXA2,NRDC,ADAM15,EPHA2,PLXNB2,DPP4,DMD,CD55,L1CAM,GPC4,HSP90AB1,IL13RA1,SDC4,SRPX2,CLSTN1,SLC3A2,LRP4,B4GALT1,SDC1,MSLN,TFRC,PICALM,AIMP1,EPHB2,ITGA6,ACE2,CD44,PTPRJ,PVR,CLSTN2,SERPINE2,MME,PTPRK,ENO2,DAG1,LDLR,HNRNPU,ENO1,NOTCH1,PDIA4
GO:0030863	Cortical cytoskeleton	25	1.61406	bottom	0.0010	ks	9606.ENSP00000211998,9606.ENSP00000216181,9606.ENSP00000246069,9606.ENSP00000252699,9606.ENSP00000254770,9606.ENSP00000268182,9606.ENSP00000295006,9606.ENSP00000336831,9606.ENSP00000338934,9606.ENSP00000339063,9606.ENSP00000349259,9606.ENSP00000354923,9606.ENSP00000354947,9606.ENSP00000355124,9606.ENSP00000357110,9606.ENSP00000361883,9606.ENSP00000364721,9606.ENSP00000367220,9606.ENSP00000377298,9606.ENSP00000377941,9606.ENSP00000401010,9606.ENSP00000427687,9606.ENSP00000487444,9606.ENSP00000494125,9606.ENSP00000494750	VCL,MYH9,DSTN,ACTN4,LANCL2,IQGAP1,CAPN2,PLS1,EZR,EEF1A1,SPTBN1,DMD,CAPZA2,KRT19,EPB41L2,CAP1,MAPRE1,ACTR2,NUMA1,ACTN1,CAPZB,WDR1,SPTAN1,TPM4,ACTB
GO:0031983	Vesicle lumen	113	0.50409	bottom	0.0010	ks	9606.ENSP00000002165,9606.ENSP00000053867,9606.ENSP00000211998,9606.ENSP00000215754,9606.ENSP00000216124,9606.ENSP00000216392,9606.ENSP00000216962,9606.ENSP00000217131,9606.ENSP00000218388,9606.ENSP00000218516,9606.ENSP00000219022,9606.ENSP00000219313,9606.ENSP00000220166,9606.ENSP00000223321,9606.ENSP00000227266,9606.ENSP00000229795,9606.ENSP00000252699,9606.ENSP00000257264,9606.ENSP00000258145,9606.ENSP00000258418,9606.ENSP00000259457,9606.ENSP00000260118,9606.ENSP00000260356,9606.ENSP00000261416,9606.ENSP00000262193,9606.ENSP00000262455,9606.ENSP00000262776,9606.ENSP00000264595,9606.ENSP00000264639,9606.ENSP00000268695,9606.ENSP00000269848,9606.ENSP00000271308,9606.ENSP00000271638,9606.ENSP00000275493,9606.ENSP00000284719,9606.ENSP00000284981,9606.ENSP00000286788,9606.ENSP00000290158,9606.ENSP00000291565,9606.ENSP00000291568,9606.ENSP00000294742,9606.ENSP00000296370,9606.ENSP00000297258,9606.ENSP00000299300,9606.ENSP00000302728,9606.ENSP00000302886,9606.ENSP00000306920,9606.ENSP00000307674,9606.ENSP00000307940,9606.ENSP00000310129,9606.ENSP00000320171,9606.ENSP00000331831,9606.ENSP00000335153,9606.ENSP00000339001,9606.ENSP00000339063,9606.ENSP00000341289,9606.ENSP00000342026,9606.ENSP00000344829,9606.ENSP00000345347,9606.ENSP00000346032,9606.ENSP00000346839,9606.ENSP00000349687,9606.ENSP00000351777,9606.ENSP00000352257,9606.ENSP00000354532,9606.ENSP00000355011,9606.ENSP00000356574,9606.ENSP00000358045,9606.ENSP00000358307,9606.ENSP00000359540,9606.ENSP00000359991,9606.ENSP00000360609,9606.ENSP00000360635,9606.ENSP00000361562,9606.ENSP00000361883,9606.ENSP00000363603,9606.ENSP00000366525,9606.ENSP00000367220,9606.ENSP00000367615,9606.ENSP00000368646,9606.ENSP00000368920,9606.ENSP00000369081,9606.ENSP00000369538,9606.ENSP00000370115,9606.ENSP00000371193,9606.ENSP00000371393,9606.ENSP00000375978,9606.ENSP00000376886,9606.ENSP00000377508,9606.ENSP00000377696,9606.ENSP00000377941,9606.ENSP00000378731,9606.ENSP00000381607,9606.ENSP00000386284,9606.ENSP00000390265,9606.ENSP00000395473,9606.ENSP00000401508,9606.ENSP00000405573,9606.ENSP00000411613,9606.ENSP00000416066,9606.ENSP00000418695,9606.ENSP00000419425,9606.ENSP00000426455,9606.ENSP00000429150,9606.ENSP00000435289,9606.ENSP00000437125,9606.ENSP00000442318,9606.ENSP00000451206,9606.ENSP00000466259,9606.ENSP00000475750,9606.ENSP00000481029,9606.ENSP00000487444,9606.ENSP00000496166	FUCA2,GRN,VCL,MIF,ARSA,PYGL,PYGB,CTSZ,TIMP1,GLA,OLFM4,PSMD7,CTSH,PSMA2,CTSC,MAPK14,ACTN4,TCN1,GNS,CAB39,PSMB7,GGH,THBS1,HEXB,PSMB1,ERP44,LGALS3BP,AGA,PSMD3,GALNS,PFKL,PSMA5,S100A11,EGFR,OLA1,APP,CCT8,KPNB1,PDXK,CSTB,ARPC5,S100P,FABP5,CCT2,GUSB,PA2G4,GLB1,CANT1,EEF2,PSMD2,PKM,GAS6,HSP90AA1,TUBB,EEF1A1,TUBB4B,PRDX6,QPCT,HMGB1,ANXA2,FN1,GM2A,VCP,XRCC6,PNP,ILF2,QSOX1,ECM1,NHLRC2,CREG1,PGAM1,HSP90AB1,DPP7,CTSA,CAP1,FUCA1,FTL,ACTR2,APRT,PRDX4,NHLRC3,TXNDC5,GDI2,SERPINB1,CPPED1,PGM2,XRCC5,NME2,JUP,NIT2,ACTN1,ALDOC,GSTP1,ALAD,IDH1,MAN2B1,NAPRT,GPI,AOC1,SERPINA1,PSMD6,PPIA,RNASET2,FAM49B,PAFAH1B2,HSPA8,CAND1,NPC2,ACLY,HEBP2,PSMC3,SPTAN1,ALDOA
GO:0034774	Secretory granule lumen	112	0.497115	bottom	0.0010	ks	9606.ENSP00000002165,9606.ENSP00000053867,9606.ENSP00000211998,9606.ENSP00000215754,9606.ENSP00000216124,9606.ENSP00000216392,9606.ENSP00000216962,9606.ENSP00000217131,9606.ENSP00000218388,9606.ENSP00000218516,9606.ENSP00000219022,9606.ENSP00000219313,9606.ENSP00000220166,9606.ENSP00000223321,9606.ENSP00000227266,9606.ENSP00000229795,9606.ENSP00000252699,9606.ENSP00000257264,9606.ENSP00000258145,9606.ENSP00000258418,9606.ENSP00000259457,9606.ENSP00000260118,9606.ENSP00000260356,9606.ENSP00000261416,9606.ENSP00000262193,9606.ENSP00000262455,9606.ENSP00000262776,9606.ENSP00000264595,9606.ENSP00000264639,9606.ENSP00000268695,9606.ENSP00000269848,9606.ENSP00000271308,9606.ENSP00000271638,9606.ENSP00000284719,9606.ENSP00000284981,9606.ENSP00000286788,9606.ENSP00000290158,9606.ENSP00000291565,9606.ENSP00000291568,9606.ENSP00000294742,9606.ENSP00000296370,9606.ENSP00000297258,9606.ENSP00000299300,9606.ENSP00000302728,9606.ENSP00000302886,9606.ENSP00000306920,9606.ENSP00000307674,9606.ENSP00000307940,9606.ENSP00000310129,9606.ENSP00000320171,9606.ENSP00000331831,9606.ENSP00000335153,9606.ENSP00000339001,9606.ENSP00000339063,9606.ENSP00000341289,9606.ENSP00000342026,9606.ENSP00000344829,9606.ENSP00000345347,9606.ENSP00000346032,9606.ENSP00000346839,9606.ENSP00000349687,9606.ENSP00000351777,9606.ENSP00000352257,9606.ENSP00000354532,9606.ENSP00000355011,9606.ENSP00000356574,9606.ENSP00000358045,9606.ENSP00000358307,9606.ENSP00000359540,9606.ENSP00000359991,9606.ENSP00000360609,9606.ENSP00000360635,9606.ENSP00000361562,9606.ENSP00000361883,9606.ENSP00000363603,9606.ENSP00000366525,9606.ENSP00000367220,9606.ENSP00000367615,9606.ENSP00000368646,9606.ENSP00000368920,9606.ENSP00000369081,9606.ENSP00000369538,9606.ENSP00000370115,9606.ENSP00000371193,9606.ENSP00000371393,9606.ENSP00000375978,9606.ENSP00000376886,9606.ENSP00000377508,9606.ENSP00000377696,9606.ENSP00000377941,9606.ENSP00000378731,9606.ENSP00000381607,9606.ENSP00000386284,9606.ENSP00000390265,9606.ENSP00000395473,9606.ENSP00000401508,9606.ENSP00000405573,9606.ENSP00000411613,9606.ENSP00000416066,9606.ENSP00000418695,9606.ENSP00000419425,9606.ENSP00000426455,9606.ENSP00000429150,9606.ENSP00000435289,9606.ENSP00000437125,9606.ENSP00000442318,9606.ENSP00000451206,9606.ENSP00000466259,9606.ENSP00000475750,9606.ENSP00000481029,9606.ENSP00000487444,9606.ENSP00000496166	FUCA2,GRN,VCL,MIF,ARSA,PYGL,PYGB,CTSZ,TIMP1,GLA,OLFM4,PSMD7,CTSH,PSMA2,CTSC,MAPK14,ACTN4,TCN1,GNS,CAB39,PSMB7,GGH,THBS1,HEXB,PSMB1,ERP44,LGALS3BP,AGA,PSMD3,GALNS,PFKL,PSMA5,S100A11,OLA1,APP,CCT8,KPNB1,PDXK,CSTB,ARPC5,S100P,FABP5,CCT2,GUSB,PA2G4,GLB1,CANT1,EEF2,PSMD2,PKM,GAS6,HSP90AA1,TUBB,EEF1A1,TUBB4B,PRDX6,QPCT,HMGB1,ANXA2,FN1,GM2A,VCP,XRCC6,PNP,ILF2,QSOX1,ECM1,NHLRC2,CREG1,PGAM1,HSP90AB1,DPP7,CTSA,CAP1,FUCA1,FTL,ACTR2,APRT,PRDX4,NHLRC3,TXNDC5,GDI2,SERPINB1,CPPED1,PGM2,XRCC5,NME2,JUP,NIT2,ACTN1,ALDOC,GSTP1,ALAD,IDH1,MAN2B1,NAPRT,GPI,AOC1,SERPINA1,PSMD6,PPIA,RNASET2,FAM49B,PAFAH1B2,HSPA8,CAND1,NPC2,ACLY,HEBP2,PSMC3,SPTAN1,ALDOA
GO:0030141	Secretory granule	173	0.341265	bottom	0.0013	ks	9606.ENSP00000002165,9606.ENSP00000053867,9606.ENSP00000161559,9606.ENSP00000199764,9606.ENSP00000205402,9606.ENSP00000211998,9606.ENSP00000215754,9606.ENSP00000216124,9606.ENSP00000216181,9606.ENSP00000216392,9606.ENSP00000216962,9606.ENSP00000217131,9606.ENSP00000218388,9606.ENSP00000218516,9606.ENSP00000219022,9606.ENSP00000219313,9606.ENSP00000220166,9606.ENSP00000223321,9606.ENSP00000227266,9606.ENSP00000228740,9606.ENSP00000229795,9606.ENSP00000249923,9606.ENSP00000252244,9606.ENSP00000252699,9606.ENSP00000254301,9606.ENSP00000257264,9606.ENSP00000258145,9606.ENSP00000258418,9606.ENSP00000259457,9606.ENSP00000260118,9606.ENSP00000260356,9606.ENSP00000261416,9606.ENSP00000262193,9606.ENSP00000262455,9606.ENSP00000262776,9606.ENSP00000264595,9606.ENSP00000264639,9606.ENSP00000264908,9606.ENSP00000267622,9606.ENSP00000268182,9606.ENSP00000268695,9606.ENSP00000269848,9606.ENSP00000270142,9606.ENSP00000271308,9606.ENSP00000271638,9606.ENSP00000273398,9606.ENSP00000273550,9606.ENSP00000284719,9606.ENSP00000284981,9606.ENSP00000286788,9606.ENSP00000287097,9606.ENSP00000290158,9606.ENSP00000291565,9606.ENSP00000291568,9606.ENSP00000294742,9606.ENSP00000294785,9606.ENSP00000296370,9606.ENSP00000296456,9606.ENSP00000297258,9606.ENSP00000299300,9606.ENSP00000301420,9606.ENSP00000302728,9606.ENSP00000302886,9606.ENSP00000304669,9606.ENSP00000305692,9606.ENSP00000306100,9606.ENSP00000306920,9606.ENSP00000307674,9606.ENSP00000307940,9606.ENSP00000309591,9606.ENSP00000310129,9606.ENSP00000311449,9606.ENSP00000313875,9606.ENSP00000314067,9606.ENSP00000317334,9606.ENSP00000318066,9606.ENSP00000320171,9606.ENSP00000320866,9606.ENSP00000331831,9606.ENSP00000333298,9606.ENSP00000335153,9606.ENSP00000339001,9606.ENSP00000339063,9606.ENSP00000339328,9606.ENSP00000340019,9606.ENSP00000341289,9606.ENSP00000342026,9606.ENSP00000344829,9606.ENSP00000345347,9606.ENSP00000345672,9606.ENSP00000346032,9606.ENSP00000346839,9606.ENSP00000348461,9606.ENSP00000349436,9606.ENSP00000349687,9606.ENSP00000351777,9606.ENSP00000352257,9606.ENSP00000354532,9606.ENSP00000354923,9606.ENSP00000355011,9606.ENSP00000356030,9606.ENSP00000356574,9606.ENSP00000357981,9606.ENSP00000358045,9606.ENSP00000358307,9606.ENSP00000359540,9606.ENSP00000359991,9606.ENSP00000360609,9606.ENSP00000360635,9606.ENSP00000361562,9606.ENSP00000361883,9606.ENSP00000363603,9606.ENSP00000364802,9606.ENSP00000365435,9606.ENSP00000366047,9606.ENSP00000366525,9606.ENSP00000367220,9606.ENSP00000367615,9606.ENSP00000368646,9606.ENSP00000368920,9606.ENSP00000369055,9606.ENSP00000369081,9606.ENSP00000369129,9606.ENSP00000369538,9606.ENSP00000370115,9606.ENSP00000371152,9606.ENSP00000371193,9606.ENSP00000371393,9606.ENSP00000373706,9606.ENSP00000373918,9606.ENSP00000375978,9606.ENSP00000376886,9606.ENSP00000377055,9606.ENSP00000377508,9606.ENSP00000377696,9606.ENSP00000377941,9606.ENSP00000378394,9606.ENSP00000378731,9606.ENSP00000381448,9606.ENSP00000381607,9606.ENSP00000385905,9606.ENSP00000386284,9606.ENSP00000390265,9606.ENSP00000395473,9606.ENSP00000398632,9606.ENSP00000400010,9606.ENSP00000400175,9606.ENSP00000401508,9606.ENSP00000405573,9606.ENSP00000408411,9606.ENSP00000411613,9606.ENSP00000415786,9606.ENSP00000416066,9606.ENSP00000418525,9606.ENSP00000418695,9606.ENSP00000419425,9606.ENSP00000426455,9606.ENSP00000429150,9606.ENSP00000431984,9606.ENSP00000435289,9606.ENSP00000437125,9606.ENSP00000442318,9606.ENSP00000451206,9606.ENSP00000455114,9606.ENSP00000466259,9606.ENSP00000475750,9606.ENSP00000481029,9606.ENSP00000484343,9606.ENSP00000487444,9606.ENSP00000495247,9606.ENSP00000496166,9606.ENSP00000497691,9606.ENSP00000498587	FUCA2,GRN,CEACAM1,CEACAM6,DLD,VCL,MIF,ARSA,MYH9,PYGL,PYGB,CTSZ,TIMP1,GLA,OLFM4,PSMD7,CTSH,PSMA2,CTSC,LTA4H,MAPK14,COPB1,KRT1,ACTN4,LGALS3,TCN1,GNS,CAB39,PSMB7,GGH,THBS1,HEXB,PSMB1,ERP44,LGALS3BP,AGA,PSMD3,ANXA3,TRIP11,IQGAP1,GALNS,PFKL,SOD1,PSMA5,S100A11,ATP6V1A,FTH1,OLA1,APP,CCT8,CD109,KPNB1,PDXK,CSTB,ARPC5,NCSTN,S100P,APEH,FABP5,CCT2,KLK1,GUSB,PA2G4,CTNNA1,GAA,PAM,GLB1,CANT1,EEF2,PRKACA,PSMD2,RAB6A,CD46,PAK2,TCP1,ENPP4,PKM,CALR,GAS6,LAMP1,HSP90AA1,TUBB,EEF1A1,PLAUR,HSPD1,TUBB4B,PRDX6,QPCT,HMGB1,CTSB,ANXA2,FN1,RAC1,ADAM15,GM2A,VCP,XRCC6,PNP,DMD,ILF2,CD55,QSOX1,CTSS,ECM1,NHLRC2,CREG1,PGAM1,HSP90AB1,DPP7,CTSA,CAP1,FUCA1,HSPA1A,TNFRSF1B,KLK6,FTL,ACTR2,APRT,PRDX4,NHLRC3,B4GALT1,TXNDC5,DSP,GDI2,SERPINB1,ASAH1,CPPED1,PGM2,DIAPH1,GARS1,XRCC5,NME2,PRCP,JUP,NIT2,ACTN1,PSAP,ALDOC,CST3,GSTP1,DNASE1,ALAD,IDH1,MAN2B1,CD44,PTPRJ,RHOA,NAPRT,GPI,LAMP2,AOC1,SERPINE2,SERPINA1,MME,PSMD6,PPIA,RNASET2,FAM49B,CAPN1,PAFAH1B2,HSPA8,CAND1,NPC2,HEXA,ACLY,HEBP2,PSMC3,SERPINB6,SPTAN1,MANBA,ALDOA,APLP2,NOTCH1
GO:0005775	Vacuolar lumen	69	0.213744	bottom	0.0038	ks	9606.ENSP00000002165,9606.ENSP00000053867,9606.ENSP00000199448,9606.ENSP00000216124,9606.ENSP00000216962,9606.ENSP00000218516,9606.ENSP00000225927,9606.ENSP00000227266,9606.ENSP00000247933,9606.ENSP00000258145,9606.ENSP00000259470,9606.ENSP00000260118,9606.ENSP00000261416,9606.ENSP00000264039,9606.ENSP00000264595,9606.ENSP00000268695,9606.ENSP00000280800,9606.ENSP00000285599,9606.ENSP00000286788,9606.ENSP00000297258,9606.ENSP00000299300,9606.ENSP00000299427,9606.ENSP00000302728,9606.ENSP00000302886,9606.ENSP00000305692,9606.ENSP00000306920,9606.ENSP00000314606,9606.ENSP00000335153,9606.ENSP00000337354,9606.ENSP00000339001,9606.ENSP00000341289,9606.ENSP00000342026,9606.ENSP00000345672,9606.ENSP00000346032,9606.ENSP00000349687,9606.ENSP00000351777,9606.ENSP00000357981,9606.ENSP00000359540,9606.ENSP00000359864,9606.ENSP00000360635,9606.ENSP00000361562,9606.ENSP00000361818,9606.ENSP00000361883,9606.ENSP00000363603,9606.ENSP00000363827,9606.ENSP00000366525,9606.ENSP00000367220,9606.ENSP00000368678,9606.ENSP00000368920,9606.ENSP00000369081,9606.ENSP00000369538,9606.ENSP00000370542,9606.ENSP00000371152,9606.ENSP00000371193,9606.ENSP00000376911,9606.ENSP00000378394,9606.ENSP00000384886,9606.ENSP00000395473,9606.ENSP00000401508,9606.ENSP00000408411,9606.ENSP00000426455,9606.ENSP00000437125,9606.ENSP00000451206,9606.ENSP00000455114,9606.ENSP00000466259,9606.ENSP00000475750,9606.ENSP00000493153,9606.ENSP00000495247,9606.ENSP00000498772	FUCA2,GRN,EPDR1,ARSA,PYGB,GLA,NAGLU,CTSC,IDUA,GNS,CTSV,GGH,HEXB,GPC1,AGA,GALNS,PLBD2,MAN2B2,CCT8,FABP5,CCT2,TPP1,GUSB,PA2G4,GAA,GLB1,SGSH,HSP90AA1,LIPA,TUBB,TUBB4B,PRDX6,CTSB,ANXA2,GM2A,VCP,CTSS,CREG1,GPC4,DPP7,CTSA,SDC4,CAP1,FUCA1,HSPG2,FTL,ACTR2,AGRN,NHLRC3,TXNDC5,GDI2,SDC1,ASAH1,CPPED1,LGMN,PSAP,IFI30,MAN2B1,NAPRT,LAMP2,RNASET2,HSPA8,NPC2,HEXA,ACLY,HEBP2,PPT1,MANBA,CLN5
GO:0062023	Collagen-containing extracellular matrix	63	0.277185	bottom	0.0038	ks	9606.ENSP00000200181,9606.ENSP00000216361,9606.ENSP00000217131,9606.ENSP00000218388,9606.ENSP00000220166,9606.ENSP00000222399,9606.ENSP00000223127,9606.ENSP00000227266,9606.ENSP00000252244,9606.ENSP00000252999,9606.ENSP00000254301,9606.ENSP00000254722,9606.ENSP00000258341,9606.ENSP00000260356,9606.ENSP00000262776,9606.ENSP00000262919,9606.ENSP00000264039,9606.ENSP00000264144,9606.ENSP00000265131,9606.ENSP00000270233,9606.ENSP00000271064,9606.ENSP00000274063,9606.ENSP00000291568,9606.ENSP00000292401,9606.ENSP00000299767,9606.ENSP00000302100,9606.ENSP00000311905,9606.ENSP00000320171,9606.ENSP00000320866,9606.ENSP00000324532,9606.ENSP00000335153,9606.ENSP00000345672,9606.ENSP00000346032,9606.ENSP00000346537,9606.ENSP00000346839,9606.ENSP00000352798,9606.ENSP00000355110,9606.ENSP00000355180,9606.ENSP00000357189,9606.ENSP00000357704,9606.ENSP00000357709,9606.ENSP00000357981,9606.ENSP00000358045,9606.ENSP00000359077,9606.ENSP00000359864,9606.ENSP00000362095,9606.ENSP00000363827,9606.ENSP00000368678,9606.ENSP00000370115,9606.ENSP00000371554,9606.ENSP00000375778,9606.ENSP00000378394,9606.ENSP00000386043,9606.ENSP00000389252,9606.ENSP00000414287,9606.ENSP00000415786,9606.ENSP00000416066,9606.ENSP00000416330,9606.ENSP00000422834,9606.ENSP00000434412,9606.ENSP00000442600,9606.ENSP00000484343,9606.ENSP00000497653	ITGB4,COCH,CTSZ,TIMP1,CTSH,LAMB1,PLOD3,CTSC,KRT1,LAMA5,LGALS3,SERPINF1,LAMC1,THBS1,LGALS3BP,ATRN,GPC1,LAMC2,TNC,BCAM,TINAGL1,SFRP2,CSTB,AZGP1,HSP90B1,LGALS4,LTBP4,PKM,CALR,LAMA3,HSP90AA1,CTSB,ANXA2,SMOC2,FN1,COL18A1,SMOC1,COL6A1,HDGF,S100A4,S100A6,CTSS,ECM1,L1CAM,GPC4,SRPX2,HSPG2,AGRN,SERPINB1,SOD3,LAMB3,PSAP,LTBP1,NPNT,MST1,SERPINE2,SERPINA1,TGFBI,FRAS1,SERPINH1,DAG1,SERPINB6,COL17A1
GO:0030117	Membrane coat	17	8.95982	top	0.0039	afc	9606.ENSP00000249923,9606.ENSP00000264933,9606.ENSP00000306881,9606.ENSP00000325002,9606.ENSP00000329419,9606.ENSP00000338844,9606.ENSP00000343405,9606.ENSP00000350199,9606.ENSP00000357048,9606.ENSP00000373312,9606.ENSP00000377015,9606.ENSP00000377148,9606.ENSP00000378721,9606.ENSP00000465685,9606.ENSP00000469035,9606.ENSP00000479606,9606.ENSP00000483185	COPB1,PDCD6,SEC23A,COPG1,COPB2,SEC23B,SEC24C,AP1B1,COPA,SEC13,PICALM,AP1G1,SEC31A,AP1M2,COPE,CLTC,AP2B1
